stream,method,n_test,n_attack,roc_auc,pr_auc,f1_best,tpr_at_1fpr,prec_at_1fpr,f1_at_1fpr
mixed,Tenko,360000,300000,0.9896815300555556,0.9980339977288634,0.9812623798567244,0.8819366666666667,0.997737394458879,0.9362699736898444
mixed,Kitsune,360000,300000,0.9732510870833333,0.9949229539503208,0.9638882671781941,0.82004,0.9975670283684492,0.9001339158306074
mixed,Mateen,360000,300000,0.9665049110555557,0.9936839163244526,0.9599580564344994,0.8077633333333334,0.9975301425519391,0.89267289093049
mixed,VAEESDD,360000,300000,0.9539713249166667,0.9914073703386499,0.9522161380302887,0.81264,0.9975449278208779,0.8956487237137944
DDoS-UDP_Flood,Tenko,110000,50000,0.972179973,0.9817977659242626,0.960381128015483,0.92824,0.9872373011146091,0.9568300828763452
DDoS-UDP_Flood,Kitsune,110000,50000,0.9852120781666668,0.9887902778188492,0.9614335958479103,0.92988,0.9872595235061792,0.9577110841040641
DDoS-UDP_Flood,Mateen,110000,50000,0.9859807128333333,0.9893434357631392,0.9634969263726203,0.939,0.9873817034700315,0.9625832906201948
DDoS-UDP_Flood,VAEESDD,110000,50000,0.9817453961666667,0.9863641962230426,0.961465675091821,0.9359,0.987340436754932,0.9609322860516454
DoS-SYN_Flood,Tenko,110000,50000,0.9952554946666666,0.9959508293008645,0.977687213448303,0.96302,0.9876925601526123,0.9752002511366974
DoS-SYN_Flood,Kitsune,110000,50000,0.9935618676666668,0.9939584946516038,0.9666580565165228,0.93974,0.9873915144892512,0.9629766259850185
DoS-SYN_Flood,Mateen,110000,50000,0.9934265216666667,0.993448723337974,0.9558705038938873,0.9256,0.9872013651877133,0.9554087530966143
DoS-SYN_Flood,VAEESDD,110000,50000,0.9928240861666666,0.9934407543196077,0.9639650719463703,0.94128,0.9874118831822759,0.9637942332896461
Recon-OSScan,Tenko,110000,50000,0.9714433243333332,0.9770248189653792,0.9519566968057876,0.86146,0.9862615345865867,0.9196460025834552
Recon-OSScan,Kitsune,110000,50000,0.7618818536666667,0.8221950209026738,0.7368308706681129,0.58412,0.9798698248674763,0.7319249179259705
Recon-OSScan,Mateen,110000,50000,0.848644387,0.8681394057067928,0.7502505038218021,0.56932,0.9793573247092823,0.7200566615232843
Recon-OSScan,VAEESDD,110000,50000,0.7240369461666667,0.7770611461148815,0.6559056739775043,0.48602,0.9759045821452954,0.6488831924807412
MITM-ArpSpoofing,Tenko,110000,50000,0.34205704000000003,0.3543685062313934,0.6386970684034695,0.00652,0.35205183585313177,0.012802890468522956
MITM-ArpSpoofing,Kitsune,110000,50000,0.16468275566666668,0.30946474183457795,0.6249999999995702,0.00844,0.41291585127201563,0.01654188389322253
MITM-ArpSpoofing,Mateen,110000,50000,0.7239331859999999,0.6836828963782826,0.713129945687604,0.11652,0.9066293183940243,0.2065005493921242
MITM-ArpSpoofing,VAEESDD,110000,50000,0.16996738283333335,0.30708511203319255,0.6249999999995702,0.00844,0.41291585127201563,0.01654188389322253
Mirai-greeth_flood,Tenko,110000,50000,0.994034561,0.995942663157829,0.9883744237317108,0.9869,0.9879867854640104,0.9874430937015358
Mirai-greeth_flood,Kitsune,110000,50000,0.9573603013333333,0.9693151949536818,0.9508801758273221,0.91722,0.9870859430490089,0.9508713366023575
Mirai-greeth_flood,Mateen,110000,50000,0.9702576016666666,0.9775182746094871,0.9537459283382628,0.92246,0.9871583588382595,0.9537131809393836
Mirai-greeth_flood,VAEESDD,110000,50000,0.9417877585,0.9600811587035676,0.9440667134605762,0.9034,0.9868909766222417,0.9433016602276287
DictionaryBruteForce,Tenko,110000,50000,0.7914403536666668,0.7927734762295667,0.7225802160152789,0.33454,0.9653719628325734,0.4968883211787247
DictionaryBruteForce,Kitsune,110000,50000,0.4722872486666666,0.5367283494529536,0.6249999999995702,0.15384,0.9276410998552822,0.26391271529540933
DictionaryBruteForce,Mateen,110000,50000,0.5878606200000001,0.6281823391644761,0.6250234524505076,0.16868,0.9335842373256587,0.28573364501812515
DictionaryBruteForce,VAEESDD,110000,50000,0.4557833136666667,0.5057287934744755,0.6253506855383405,0.14606,0.9240794634948754,0.25224945166917084
