stream,method,roc_auc,pr_auc,f1_best,tpr_at_1fpr
mixed,Tenko,0.9896815300555556,0.9980339977288634,0.9812623798567244,0.8819366666666667
mixed,Kitsune,0.9732510870833333,0.9949229539503208,0.9638882671781941,0.82004
mixed,Mateen,0.9665049110555557,0.9936839163244526,0.9599580564344994,0.8077633333333334
mixed,VAEESDD,0.9539713249166667,0.9914073703386499,0.9522161380302887,0.81264
mixed,iForest,0.93474922075,0.9801993528653195,0.9578823000260166,0.11126
DDoS-UDP_Flood,Tenko,0.972179973,0.9817977659242626,0.960381128015483,0.92824
DDoS-UDP_Flood,Kitsune,0.9852120781666668,0.9887902778188492,0.9614335958479103,0.92988
DDoS-UDP_Flood,Mateen,0.9859807128333333,0.9893434357631392,0.9634969263726203,0.939
DDoS-UDP_Flood,VAEESDD,0.9817453961666667,0.9863641962230426,0.961465675091821,0.9359
DDoS-UDP_Flood,iForest,0.9466086158333334,0.8617359628711474,0.9407532923090217,0.00066
DoS-SYN_Flood,Tenko,0.9952554946666666,0.9959508293008645,0.977687213448303,0.96302
DoS-SYN_Flood,Kitsune,0.9935618676666668,0.9939584946516038,0.9666580565165228,0.93974
DoS-SYN_Flood,Mateen,0.9934265216666667,0.993448723337974,0.9558705038938873,0.9256
DoS-SYN_Flood,VAEESDD,0.9928240861666666,0.9934407543196077,0.9639650719463703,0.94128
DoS-SYN_Flood,iForest,0.778755291,0.6997334268489585,0.8774553176424017,0.0
Recon-OSScan,Tenko,0.9714433243333332,0.9770248189653792,0.9519566968057876,0.86146
Recon-OSScan,Kitsune,0.7618818536666667,0.8221950209026738,0.7368308706681129,0.58412
Recon-OSScan,Mateen,0.848644387,0.8681394057067928,0.7502505038218021,0.56932
Recon-OSScan,VAEESDD,0.7240369461666667,0.7770611461148815,0.6559056739775043,0.48602
Recon-OSScan,iForest,0.7119732750000001,0.6524765354081364,0.6488910009395928,0.00892
MITM-ArpSpoofing,Tenko,0.34205704000000003,0.3543685062313934,0.6386970684034695,0.00652
MITM-ArpSpoofing,Kitsune,0.16468275566666668,0.30946474183457795,0.6249999999995702,0.00844
MITM-ArpSpoofing,Mateen,0.7239331859999999,0.6836828963782826,0.713129945687604,0.11652
MITM-ArpSpoofing,VAEESDD,0.16996738283333335,0.30708511203319255,0.6249999999995702,0.00844
MITM-ArpSpoofing,iForest,0.909596818,0.9277814075577342,0.9028632973638033,0.39092
Mirai-greeth_flood,Tenko,0.994034561,0.995942663157829,0.9883744237317108,0.9869
Mirai-greeth_flood,Kitsune,0.9573603013333333,0.9693151949536818,0.9508801758273221,0.91722
Mirai-greeth_flood,Mateen,0.9702576016666666,0.9775182746094871,0.9537459283382628,0.92246
Mirai-greeth_flood,VAEESDD,0.9417877585,0.9600811587035676,0.9440667134605762,0.9034
Mirai-greeth_flood,iForest,0.9295071353333334,0.9157050024803628,0.9144951304941445,0.25974
DictionaryBruteForce,Tenko,0.7914403536666668,0.7927734762295667,0.7225802160152789,0.33454
DictionaryBruteForce,Kitsune,0.4722872486666666,0.5367283494529536,0.6249999999995702,0.15384
DictionaryBruteForce,Mateen,0.5878606200000001,0.6281823391644761,0.6250234524505076,0.16868
DictionaryBruteForce,VAEESDD,0.4557833136666667,0.5057287934744755,0.6253506855383405,0.14606
DictionaryBruteForce,iForest,0.43712368383333333,0.40788210006384656,0.6249999999995702,0.0101
