attack,method,uses_labels,eta_g,eta_s,TPR,FPR,Precision,F1,Accuracy,AUC,EER,tp,fp,fn,tn,n_benign_test,n_attack
DoS-SYN_Flood,committed_50_20,0,50.000000,20.000000,0.987200,0.081312,0.883559,0.932508,0.945038,0.993055,0.027339,49360,6505,640,73495,80000,50000
DoS-SYN_Flood,benign_calib@1%,0,19.238519,3.872159,0.992140,0.161625,0.793242,0.881612,0.897515,0.993055,0.027339,49607,12930,393,67070,80000,50000
DoS-SYN_Flood,benign_calib@5%,0,10.855454,1.061130,0.995340,0.302287,0.672982,0.803017,0.812185,0.993055,0.027339,49767,24183,233,55817,80000,50000
DDoS-UDP_Flood,committed_50_20,0,50.000000,20.000000,0.919780,0.081312,0.876081,0.897399,0.919108,0.956245,0.082574,45989,6505,4011,73495,80000,50000
DDoS-UDP_Flood,benign_calib@1%,0,19.238519,3.872159,0.955480,0.161625,0.786999,0.863094,0.883415,0.956245,0.082574,47774,12930,2226,67070,80000,50000
DDoS-UDP_Flood,benign_calib@5%,0,10.855454,1.061130,0.969380,0.302287,0.667139,0.790350,0.802200,0.956245,0.082574,48469,24183,1531,55817,80000,50000
Recon-OSScan,committed_50_20,0,50.000000,20.000000,0.553720,0.081312,0.809745,0.657695,0.778315,0.889798,0.166300,27686,6505,22314,73495,80000,50000
Recon-OSScan,benign_calib@1%,0,19.238519,3.872159,0.891520,0.161625,0.775154,0.829275,0.858815,0.889798,0.166300,44576,12930,5424,67070,80000,50000
Recon-OSScan,benign_calib@5%,0,10.855454,1.061130,0.982460,0.302287,0.670109,0.796766,0.807231,0.889798,0.166300,49123,24183,877,55817,80000,50000
MITM-ArpSpoofing,committed_50_20,0,50.000000,20.000000,0.971420,0.081312,0.881890,0.924493,0.938969,0.977472,0.078016,48571,6505,1429,73495,80000,50000
MITM-ArpSpoofing,benign_calib@1%,0,19.238519,3.872159,0.995000,0.161625,0.793714,0.883032,0.898615,0.977472,0.078016,49750,12930,250,67070,80000,50000
MITM-ArpSpoofing,benign_calib@5%,0,10.855454,1.061130,0.997640,0.302287,0.673490,0.804127,0.813069,0.977472,0.078016,49882,24183,118,55817,80000,50000
Mirai-greeth_flood,committed_50_20,0,50.000000,20.000000,0.950640,0.081312,0.879620,0.913752,0.930977,0.969907,0.084384,47532,6505,2468,73495,80000,50000
Mirai-greeth_flood,benign_calib@1%,0,19.238519,3.872159,0.986100,0.161625,0.792239,0.878603,0.895192,0.969907,0.084384,49305,12930,695,67070,80000,50000
Mirai-greeth_flood,benign_calib@5%,0,10.855454,1.061130,0.995340,0.302287,0.672982,0.803017,0.812185,0.969907,0.084384,49767,24183,233,55817,80000,50000
DictionaryBruteForce,committed_50_20,0,50.000000,20.000000,0.201300,0.081312,0.607423,0.302388,0.642769,0.843329,0.204939,10065,6505,39935,73495,80000,50000
DictionaryBruteForce,benign_calib@1%,0,19.238519,3.872159,0.840900,0.161625,0.764802,0.801048,0.839346,0.843329,0.204939,42045,12930,7955,67070,80000,50000
DictionaryBruteForce,benign_calib@5%,0,10.855454,1.061130,0.991980,0.302287,0.672237,0.801393,0.810892,0.843329,0.204939,49599,24183,401,55817,80000,50000
