attack,model,TPR,FPR,Precision,F1,AUC,EER,n_benign_test,n_attack,benignLimit_used
DDoS-UDP_Flood,Kitsune,0.979300,0.323333,0.834654,0.901210,0.965073,0.123863,30000,50000,150000
DDoS-UDP_Flood,Tenko,0.059640,0.000000,1.000000,0.112567,0.930948,0.129247,30000,50000,150000
DoS-SYN_Flood,Kitsune,0.996340,0.323333,0.837021,0.909758,0.992747,0.036643,30000,50000,150000
DoS-SYN_Flood,Tenko,0.715180,0.000000,1.000000,0.833942,0.988392,0.050633,30000,50000,150000
Recon-OSScan,Kitsune,0.896220,0.323333,0.822054,0.857537,0.827176,0.216383,30000,50000,150000
Recon-OSScan,Tenko,0.000000,0.000000,nan,0.000000,0.796219,0.253863,30000,50000,150000
MITM-ArpSpoofing,Kitsune,0.962680,0.323333,0.832279,0.892743,0.942003,0.147373,30000,50000,150000
MITM-ArpSpoofing,Tenko,0.000840,0.000000,1.000000,0.001679,0.951141,0.134337,30000,50000,150000
Mirai-greeth_flood,Kitsune,0.976160,0.323333,0.834211,0.899620,0.929418,0.153343,30000,50000,150000
Mirai-greeth_flood,Tenko,0.000000,0.000000,nan,0.000000,0.936996,0.143320,30000,50000,150000
DictionaryBruteForce,Kitsune,0.689300,0.323333,0.780369,0.732013,0.703386,0.318927,30000,50000,150000
DictionaryBruteForce,Tenko,0.014940,0.000000,1.000000,0.029440,0.707727,0.282033,30000,50000,150000
