attack,mode,win_lo,win_hi,TPR,FPR,Precision,F1,Accuracy,AUC,n_ben
DoS-SYN_Flood,contiguous,100000,113333,0.987200,0.006450,0.998261,0.992700,0.988537,0.995999,13333
DDoS-UDP_Flood,contiguous,113333,126666,0.919780,0.029176,0.991612,0.954346,0.930526,0.967711,13333
Recon-OSScan,contiguous,126666,139999,0.553720,0.014850,0.992899,0.710955,0.644545,0.937932,13333
MITM-ArpSpoofing,contiguous,139999,153332,0.971420,0.024001,0.993455,0.982314,0.972384,0.992085,13333
Mirai-greeth_flood,contiguous,153332,166665,0.950640,0.351159,0.910331,0.930049,0.887105,0.882075,13333
DictionaryBruteForce,contiguous,166665,180000,0.201300,0.062242,0.923818,0.330569,0.356359,0.863556,13335
DoS-SYN_Flood,random,-1,-1,0.987200,0.081602,0.978433,0.982797,0.972716,0.993138,13333
DDoS-UDP_Flood,random,-1,-1,0.919780,0.081527,0.976910,0.947484,0.919505,0.956195,13333
Recon-OSScan,random,-1,-1,0.553720,0.079952,0.962924,0.703119,0.630840,0.890237,13333
MITM-ArpSpoofing,random,-1,-1,0.971420,0.082352,0.977894,0.974646,0.960100,0.977252,13333
Mirai-greeth_flood,random,-1,-1,0.950640,0.083702,0.977060,0.963669,0.943410,0.969791,13333
DictionaryBruteForce,random,-1,-1,0.201300,0.084302,0.899544,0.328981,0.351697,0.841839,13333
