attack,target_benign_fpr,shared_q,eta_global,eta_node,achieved_benign_fpr_calib,TPR,FPR,Precision,F1,F1_recomputed,F1_ok,AUC,EER,n_benign_test,n_attack,benignLimit
DDoS-UDP_Flood,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.61328,0.009966666666666667,0.9903433129864677,0.7574818126798661,0.7574818126798663,1,0.928821832,0.12936333333333333,30000,50000,150000
DDoS-UDP_Flood,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.78318,0.049966666666666666,0.9631314870382213,0.8638840477398575,0.8638840477398575,1,0.928821832,0.12936333333333333,30000,50000,150000
DoS-SYN_Flood,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.94162,0.009966666666666667,0.9936893203883496,0.9669542000410762,0.9669542000410762,1,0.9877920993333332,0.05180333333333334,30000,50000,150000
DoS-SYN_Flood,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.96266,0.049966666666666666,0.9697977111540941,0.9662156736791392,0.9662156736791391,1,0.9877920993333332,0.05180333333333334,30000,50000,150000
Recon-OSScan,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.04076,0.009966666666666667,0.8720581942661532,0.07787989376540497,0.07787989376540497,1,0.7958711166666667,0.25588666666666665,30000,50000,150000
Recon-OSScan,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.11462,0.049966666666666666,0.7926694329183955,0.20027957365018348,0.20027957365018345,1,0.7958711166666667,0.25588666666666665,30000,50000,150000
MITM-ArpSpoofing,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.52362,0.009966666666666667,0.9887084592145015,0.6846495815899581,0.6846495815899581,1,0.9491870526666667,0.13069000000000003,30000,50000,150000
MITM-ArpSpoofing,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.82402,0.049966666666666666,0.9648946135831382,0.8889104638619202,0.8889104638619202,1,0.9491870526666667,0.13069000000000003,30000,50000,150000
Mirai-greeth_flood,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.40786,0.009966666666666667,0.9855499710032863,0.5769535449555819,0.5769535449555819,1,0.9367282619999998,0.13957333333333335,30000,50000,150000
Mirai-greeth_flood,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.71162,0.049966666666666666,0.9595738942826322,0.8172025723472669,0.8172025723472669,1,0.9367282619999998,0.13957333333333335,30000,50000,150000
DictionaryBruteForce,0.01,0.994768,40.698774879819176,2.85443407451282,0.009966666666666667,0.0209,0.009966666666666667,0.7775297619047619,0.04070582736054846,0.04070582736054846,1,0.6968163060000001,0.28469999999999995,30000,50000,150000
DictionaryBruteForce,0.05,0.968434,35.833533385528064,2.206741470895003,0.049966666666666666,0.03054,0.049966666666666666,0.5046265697290152,0.05759438765888432,0.057594387658884326,1,0.6968163060000001,0.28469999999999995,30000,50000,150000
