attack,variant,split,target_benign_fpr,shared_q,eta_global,eta_node,calib_benign_fpr,heldout_benign_fpr,heldout_fpr_minus_target,TPR,FPR,Precision,F1,AUC,EER,n_calib_benign,n_eval_benign,n_attack,benignLimit,ref_TPR,ref_F1,dTPR_vs_ref,dF1_vs_ref
DDoS-UDP_Flood,double,fwd,0.01,0.994657,41.23287735218057,2.9402218622638174,0.01,0.0,-0.01,0.59102,0.0,1.0,0.7429447775640784,0.9582124253333333,0.07378000000000003,15000,15000,50000,150000,0.61328,0.7574818126798661,-0.022260000000000058,-0.014537035115787744
DDoS-UDP_Flood,double,fwd,0.05,0.970212,39.65147677951356,2.6296945050520693,0.05,0.0,-0.05,0.67454,0.0,1.0,0.8056421464999343,0.9582124253333333,0.07378000000000003,15000,15000,50000,150000,0.78318,0.8638840477398575,-0.10863999999999996,-0.05824190123992323
DDoS-UDP_Flood,double,rev,0.01,0.99499,14.82148741446269,0.8097559508595129,0.009933,0.304,0.294,0.92008,0.304,0.9098172612926193,0.9149198520345253,0.8994312386666666,0.14381333333333335,15000,15000,50000,150000,0.61328,0.7574818126798661,0.30679999999999996,0.15743803935465916
DDoS-UDP_Flood,double,rev,0.05,0.973212,14.283918213139183,0.5505256922003603,0.05,0.319267,0.269267,0.93584,0.31926666666666664,0.9071557356390919,0.9212746478179975,0.8994312386666666,0.14381333333333335,15000,15000,50000,150000,0.78318,0.8638840477398575,0.15266000000000002,0.05739060007814001
DDoS-UDP_Flood,single,fwd,0.01,0.994768,45.94223817941811,3.080233719383158,0.009867,0.0,-0.01,0.62458,0.0,1.0,0.76891258048234,0.9572706799999999,0.07409333333333332,15000,15000,50000,150000,0.61328,0.7574818126798661,0.011299999999999977,0.011430767802473873
DDoS-UDP_Flood,single,fwd,0.05,0.968545,43.0932946441463,2.709870586391621,0.05,0.0,-0.05,0.70132,0.0,1.0,0.824442197822867,0.9572706799999999,0.07409333333333332,15000,15000,50000,150000,0.78318,0.8638840477398575,-0.08185999999999993,-0.03944184991699051
DDoS-UDP_Flood,single,rev,0.01,0.99499,16.052127046681175,0.8763034496691295,0.009933,0.3002,0.2902,0.91342,0.3002,0.9102523219197194,0.9118334098668317,0.904625056,0.14714333333333335,15000,15000,50000,150000,0.61328,0.7574818126798661,0.30013999999999996,0.15435159718696556
DDoS-UDP_Flood,single,rev,0.05,0.973212,15.463922367212257,0.5671981105340663,0.049867,0.3154,0.2654,0.92898,0.3154,0.9075615474794841,0.9181458786321407,0.904625056,0.14714333333333335,15000,15000,50000,150000,0.78318,0.8638840477398575,0.14580000000000004,0.0542618308922832
DoS-SYN_Flood,double,fwd,0.01,0.994657,41.23287735218057,2.9402218622638174,0.01,0.0,-0.01,0.93348,0.0,1.0,0.9655957134286365,0.9936198253333334,0.024486666666666684,15000,15000,50000,150000,0.94162,0.9669542000410762,-0.008140000000000036,-0.0013584866124397577
DoS-SYN_Flood,double,fwd,0.05,0.970212,39.65147677951356,2.6296945050520693,0.05,0.0,-0.05,0.95506,0.0,1.0,0.9770134931920248,0.9936198253333334,0.024486666666666684,15000,15000,50000,150000,0.96266,0.9662156736791392,-0.00759999999999994,0.01079781951288561
DoS-SYN_Flood,double,rev,0.01,0.99499,14.82148741446269,0.8097559508595129,0.009933,0.304,0.294,0.9837,0.304,0.9151548981300586,0.9481902742300834,0.9819643733333333,0.07226333333333333,15000,15000,50000,150000,0.94162,0.9669542000410762,0.042080000000000006,-0.018763925810992843
DoS-SYN_Flood,double,rev,0.05,0.973212,14.283918213139183,0.5505256922003603,0.05,0.319267,0.269267,0.98636,0.31926666666666664,0.9114901953536511,0.9474482983853151,0.9819643733333333,0.07226333333333333,15000,15000,50000,150000,0.96266,0.9662156736791392,0.023700000000000054,-0.018767375293824107
DoS-SYN_Flood,single,fwd,0.01,0.994768,45.94223817941811,3.080233719383158,0.009867,0.0,-0.01,0.94292,0.0,1.0,0.970621538714924,0.9934266933333334,0.026116666666666673,15000,15000,50000,150000,0.94162,0.9669542000410762,0.0012999999999999678,0.00366733867384772
DoS-SYN_Flood,single,fwd,0.05,0.968545,43.0932946441463,2.709870586391621,0.05,0.0,-0.05,0.95584,0.0,1.0,0.9774214659685864,0.9934266933333334,0.026116666666666673,15000,15000,50000,150000,0.96266,0.9662156736791392,-0.006819999999999937,0.01120579228944718
DoS-SYN_Flood,single,rev,0.01,0.99499,16.052127046681175,0.8763034496691295,0.009933,0.3002,0.2902,0.98214,0.3002,0.9160044767767208,0.9479200849338867,0.983357356,0.06207333333333334,15000,15000,50000,150000,0.94162,0.9669542000410762,0.04052,-0.019034115107189553
DoS-SYN_Flood,single,rev,0.05,0.973212,15.463922367212257,0.5671981105340663,0.049867,0.3154,0.2654,0.98488,0.3154,0.9123483094025011,0.9472276989660976,0.983357356,0.06207333333333334,15000,15000,50000,150000,0.96266,0.9662156736791392,0.022220000000000018,-0.01898797471304159
Recon-OSScan,double,fwd,0.01,0.994657,41.23287735218057,2.9402218622638174,0.01,0.0,-0.01,0.03076,0.0,1.0,0.05968411657417828,0.8838480400000001,0.1372233333333333,15000,15000,50000,150000,0.04076,0.0778798937654049,-0.009999999999999998,-0.01819577719122662
Recon-OSScan,double,fwd,0.05,0.970212,39.65147677951356,2.6296945050520693,0.05,0.0,-0.05,0.05852,0.0,1.0,0.11056947436042777,0.8838480400000001,0.1372233333333333,15000,15000,50000,150000,0.11462,0.2002795736501834,-0.0561,-0.08971009928975562
Recon-OSScan,double,rev,0.01,0.99499,14.82148741446269,0.8097559508595129,0.009933,0.304,0.294,0.68426,0.304,0.8823923864544915,0.7707974271456411,0.7078941933333333,0.3466633333333333,15000,15000,50000,150000,0.04076,0.0778798937654049,0.6435,0.6929175333802362
Recon-OSScan,double,rev,0.05,0.973212,14.283918213139183,0.5505256922003603,0.05,0.319267,0.269267,0.79136,0.31926666666666664,0.8920350790179679,0.8386871138336318,0.7078941933333333,0.3466633333333333,15000,15000,50000,150000,0.11462,0.2002795736501834,0.6767399999999999,0.6384075401834484
