attack,method,uses_attack_labels,eta_g,eta_s,calib_fpr,TPR,FPR,Precision,F1,Accuracy,tp,fp,fn,tn,n_benign_eval,n_attack
DoS-SYN_Flood,committed_eta_50_20,0,50.0,20.0,0.0,0.9872,0.00828813559322034,0.9901903749322956,0.9886929263187413,0.9896422018348624,49360,489,640,58511,59000,50000
DoS-SYN_Flood,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.99502,0.1298135593220339,0.8665911862044939,0.9263755702448562,0.9274495412844037,49751,7659,249,51341,59000,50000
DoS-SYN_Flood,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.99918,0.20161016949152544,0.8076923076923077,0.8932894666261376,0.8904954128440367,49959,11895,41,47105,59000,50000
DoS-SYN_Flood,gridsearch_ORACLE_maxF1,1,94.63500980631264,9.741825883653625,nan,0.98402,0.0013220338983050849,0.9984171756732076,0.9911663090885283,0.991954128440367,49201,78,799,58922,59000,50000
DoS-SYN_Flood,gridsearch_ORACLE_youdenJ,1,94.63500980631264,9.741825883653625,nan,0.98402,0.0013220338983050849,0.9984171756732076,0.9911663090885283,0.991954128440367,49201,78,799,58922,59000,50000
DDoS-UDP_Flood,committed_eta_50_20,0,50.0,20.0,0.0,0.91978,0.00828813559322034,0.9894788932398124,0.9533572420655486,0.9587155963302753,45989,489,4011,58511,59000,50000
DDoS-UDP_Flood,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.97034,0.1298135593220339,0.8636606379948732,0.9138976793248945,0.9161284403669725,48517,7659,1483,51341,59000,50000
DDoS-UDP_Flood,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.97766,0.20161016949152544,0.8042877356938366,0.8825398544837423,0.8806238532110092,48883,11895,1117,47105,59000,50000
DDoS-UDP_Flood,gridsearch_ORACLE_maxF1,1,27.560089872304694,9.027608128739262,nan,0.94738,0.013915254237288135,0.9829632703880473,0.9648436704348712,0.9683302752293578,47369,821,2631,58179,59000,50000
DDoS-UDP_Flood,gridsearch_ORACLE_youdenJ,1,27.560089872304694,9.027608128739262,nan,0.94738,0.013915254237288135,0.9829632703880473,0.9648436704348712,0.9683302752293578,47369,821,2631,58179,59000,50000
Recon-OSScan,committed_eta_50_20,0,50.0,20.0,0.0,0.55372,0.00828813559322034,0.9826441881100266,0.7083082826990726,0.7907981651376147,27686,489,22314,58511,59000,50000
Recon-OSScan,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.98022,0.1298135593220339,0.8648491265219693,0.9189275335145777,0.9206605504587156,49011,7659,989,51341,59000,50000
Recon-OSScan,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.99498,0.20161016949152544,0.8070371812341833,0.8912077675468453,0.8885688073394495,49749,11895,251,47105,59000,50000
Recon-OSScan,gridsearch_ORACLE_maxF1,1,119.89759985633161,1.3248135548033106,nan,0.96752,0.04228813559322034,0.9509543747911384,0.9591656670400809,0.9622110091743119,48376,2495,1624,56505,59000,50000
Recon-OSScan,gridsearch_ORACLE_youdenJ,1,119.89759985633161,1.3248135548033106,nan,0.96752,0.04228813559322034,0.9509543747911384,0.9591656670400809,0.9622110091743119,48376,2495,1624,56505,59000,50000
MITM-ArpSpoofing,committed_eta_50_20,0,50.0,20.0,0.0,0.97142,0.00828813559322034,0.9900326131267835,0.9806379971734303,0.9824036697247707,48571,489,1429,58511,59000,50000
MITM-ArpSpoofing,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.99764,0.1298135593220339,0.8668949097165499,0.9276833951702141,0.9286513761467889,49882,7659,118,51341,59000,50000
MITM-ArpSpoofing,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.99944,0.20161016949152544,0.8077327169573439,0.8934180768233706,0.8906146788990825,49972,11895,28,47105,59000,50000
MITM-ArpSpoofing,gridsearch_ORACLE_maxF1,1,114.87077341942319,3.9465854471207633,nan,0.9888,0.008813559322033898,0.9895916733386709,0.9891956782713085,0.9900917431192661,49440,520,560,58480,59000,50000
MITM-ArpSpoofing,gridsearch_ORACLE_youdenJ,1,114.87077341942319,3.9465854471207633,nan,0.9888,0.008813559322033898,0.9895916733386709,0.9891956782713085,0.9900917431192661,49440,520,560,58480,59000,50000
Mirai-greeth_flood,committed_eta_50_20,0,50.0,20.0,0.0,0.95064,0.00828813559322034,0.9898169550821515,0.9698329949704655,0.9728715596330275,47532,489,2468,58511,59000,50000
Mirai-greeth_flood,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.99544,0.1298135593220339,0.8666399679615538,0.9265854362334894,0.9276422018348623,49772,7659,228,51341,59000,50000
Mirai-greeth_flood,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.99908,0.20161016949152544,0.8076767611440767,0.8932399932051248,0.8904495412844037,49954,11895,46,47105,59000,50000
Mirai-greeth_flood,gridsearch_ORACLE_maxF1,1,27.80596714432215,6.3661158820571675,nan,0.98074,0.015101694915254238,0.982154302195161,0.981446641581939,0.9829908256880734,49037,891,963,58109,59000,50000
Mirai-greeth_flood,gridsearch_ORACLE_youdenJ,1,27.80596714432215,6.3661158820571675,nan,0.98074,0.015101694915254238,0.982154302195161,0.981446641581939,0.9829908256880734,49037,891,963,58109,59000,50000
DictionaryBruteForce,committed_eta_50_20,0,50.0,20.0,0.0,0.2013,0.00828813559322034,0.9536668561682774,0.33243055784919245,0.6291376146788991,10065,489,39935,58511,59000,50000
DictionaryBruteForce,benign_calib@1%,0,6.456963451728744,1.283928699625479,0.01,0.99298,0.1298135593220339,0.8663537376980526,0.9253550527453684,0.9265137614678899,49649,7659,351,51341,59000,50000
DictionaryBruteForce,benign_calib@5%,0,5.447272340146364,0.4423006054996022,0.05,0.99926,0.20161016949152544,0.8077047431213424,0.8933290421784763,0.8905321100917432,49963,11895,37,47105,59000,50000
DictionaryBruteForce,gridsearch_ORACLE_maxF1,1,215.8388814845357,1.24655688274178,nan,0.98174,0.045593220338983054,0.948046429881994,0.9645990744470755,0.9669449541284404,49087,2690,913,56310,59000,50000
DictionaryBruteForce,gridsearch_ORACLE_youdenJ,1,215.8388814845357,1.24655688274178,nan,0.98174,0.045593220338983054,0.948046429881994,0.9645990744470755,0.9669449541284404,49087,2690,913,56310,59000,50000
