packet_index,label,kitsune_tanh_rmse,tenko_node_score
0,0,0.005913,0.006838
10,0,0.003469,0.003469
20,0,0.003179,0.005228
30,0,0.040446,0.044443
40,0,0.002961,0.003471
50,0,0.036960,0.044435
60,0,0.029120,0.014662
70,0,0.027305,0.014678
80,0,0.032839,0.044418
90,0,0.031509,0.044408
100,0,0.004246,0.002123
110,0,0.003989,0.003026
120,0,0.003703,0.005488
130,0,0.003622,0.003471
140,0,0.005155,0.006573
150,0,0.003558,0.003471
160,0,0.005579,0.006834
170,0,0.003510,0.005225
180,0,0.003073,0.003073
190,0,0.003557,0.003471
200,0,0.003438,0.003438
210,0,0.002961,0.003470
220,0,0.004086,0.004078
230,0,0.003490,0.001745
240,0,0.003422,0.003422
250,0,0.003632,0.003470
260,0,0.004667,0.006671
270,0,0.002866,0.005222
280,0,0.005740,0.006830
290,0,0.003412,0.003493
300,0,0.004065,0.004076
310,0,0.004715,0.002839
320,0,0.005056,0.004157
330,0,0.003542,0.003470
340,0,0.036804,0.036787
350,0,0.004292,0.004292
360,0,0.003306,0.005471
370,0,0.004034,0.004052
380,0,0.003264,0.003734
390,0,0.007715,0.025076
400,0,0.008610,0.005242
410,0,0.018575,0.014731
420,0,0.006122,0.005243
430,0,0.003602,0.005469
440,0,0.002431,0.002962
450,0,0.005615,0.006825
460,0,0.002596,0.003490
470,0,0.004339,0.011077
480,0,0.004006,0.005242
490,0,0.005004,0.005471
500,0,0.003615,0.003468
510,0,0.004262,0.004262
520,0,0.003554,0.003468
530,0,0.004795,0.006820
540,0,0.003698,0.005240
550,0,0.006255,0.006819
560,0,0.004581,0.004581
570,0,0.004597,0.004644
580,0,0.005532,0.006816
590,0,0.005379,0.006813
600,0,0.002785,0.003620
610,0,0.004057,0.004024
620,0,0.044162,0.005249
630,0,0.004242,0.005248
640,0,0.003355,0.005248
650,0,0.003825,0.005248
660,0,0.002931,0.005247
670,0,0.003126,0.003467
680,0,0.005060,0.006809
690,0,0.004105,0.004105
700,0,0.004054,0.004074
710,0,0.003232,0.005246
720,0,0.005523,0.006804
730,0,0.003356,0.005246
740,0,0.004060,0.004058
750,0,0.003939,0.003939
760,0,0.020980,0.044347
770,0,0.017991,0.044326
780,0,0.016422,0.044308
790,0,0.013222,0.014730
800,0,0.002361,0.003368
810,0,0.003625,0.005454
820,0,0.006470,0.005245
830,0,0.003561,0.003467
840,0,0.016231,0.014724
850,0,0.003091,0.003466
860,0,0.004048,0.003488
870,0,0.003036,0.003000
880,0,0.003948,0.003947
890,0,0.003530,0.005449
900,0,0.006515,0.006799
910,0,0.002548,0.003466
920,0,0.003253,0.003466
930,0,0.003046,0.003046
940,0,0.005778,0.006798
950,0,0.002632,0.002960
960,0,0.003853,0.005243
970,0,0.003314,0.005443
980,0,0.008478,0.008887
990,0,0.010074,0.014436
1000,0,0.002885,0.002885
1010,0,0.003034,0.003038
1020,0,0.004064,0.004060
1030,0,0.006419,0.006796
1040,0,0.003164,0.003103
1050,0,0.003170,0.003170
1060,0,0.003082,0.003082
1070,0,0.005003,0.004411
1080,0,0.007209,0.006796
1090,0,0.009381,0.006804
1100,0,0.004223,0.005438
1110,0,0.003774,0.005239
1120,0,0.003244,0.005238
1130,0,0.003773,0.005238
1140,0,0.007767,0.006806
1150,0,0.003262,0.003262
1160,0,0.004283,0.004254
1170,0,0.004047,0.004104
1180,0,0.003431,0.003838
1190,0,0.002746,0.002746
1200,0,0.004729,0.005431
1210,0,0.003845,0.001922
1220,0,0.003332,0.023116
1230,0,0.003697,0.003697
1240,0,0.007431,0.006813
1250,0,0.002608,0.002818
1260,0,0.003685,0.005236
1270,0,0.006594,0.005235
1280,0,0.002544,0.003464
1290,0,0.701931,0.044316
1300,0,0.003284,0.003463
1310,0,0.004162,0.004108
1320,0,0.003894,0.005425
1330,0,0.004141,0.005420
1340,0,0.023150,0.009621
1350,0,0.003396,0.005234
1360,0,0.017555,0.024789
1370,0,0.015258,0.024774
1380,0,0.005048,0.014711
1390,0,0.003981,0.005233
1400,0,0.003023,0.022991
1410,0,0.007024,0.006817
1420,0,0.002928,0.003070
1430,0,0.002147,0.002962
1440,0,0.005997,0.005414
1450,0,0.007944,0.007795
1460,0,0.008244,0.006820
1470,0,0.005038,0.004515
1480,0,0.003212,0.005231
1490,0,0.005217,0.005231
1500,0,0.002544,0.003462
1510,0,0.011883,0.044227
1520,0,0.010908,0.014694
1530,0,0.003286,0.003462
1540,0,0.012829,0.044180
1550,0,0.013525,0.044160
1560,0,0.002707,0.002949
1570,0,0.016541,0.044118
1580,0,0.003306,0.003306
1590,0,0.007006,0.006821
1600,0,0.003213,0.005229
1610,0,0.003570,0.003462
1620,0,0.004085,0.003832
1630,0,0.002978,0.003461
1640,0,0.007795,0.006821
1650,0,0.007143,0.009530
1660,0,0.004162,0.004243
1670,0,0.002545,0.003461
1680,0,0.007339,0.006823
1690,0,0.002964,0.003461
1700,0,0.003838,0.004032
1710,0,0.004769,0.018797
1720,0,0.003220,0.005406
1730,0,0.005858,0.005227
1740,0,0.008458,0.006826
1750,0,0.003358,0.003461
1760,0,0.002980,0.003678
1770,0,0.008759,0.006828
1780,0,0.004466,0.004340
1790,0,0.004911,0.004911
1800,0,0.008018,0.006830
1810,0,0.003963,0.005402
1820,0,0.004029,0.004031
1830,0,0.004323,0.005225
1840,0,0.002910,0.005224
1850,0,0.003094,0.003460
1860,0,0.002774,0.002774
1870,0,0.008585,0.006836
1880,0,0.003573,0.005224
1890,0,0.004300,0.004169
1900,0,0.002544,0.003460
1910,0,0.003400,0.005223
1920,0,0.004744,0.004645
1930,0,0.003944,0.005395
1940,0,0.003002,0.002998
1950,0,0.010757,0.044092
1960,0,0.008506,0.006845
1970,0,0.003629,0.003460
1980,0,0.004181,0.005391
1990,0,0.008650,0.006848
2000,0,0.012700,0.012699
2010,0,0.003224,0.003074
2020,0,0.008710,0.006853
2030,0,0.005222,0.005220
2040,0,0.004061,0.005389
2050,0,0.008981,0.006856
2060,0,0.003446,0.005387
2070,0,0.002730,0.050946
2080,0,0.004508,0.002254
2090,0,0.017314,0.049468
2100,0,0.020633,0.048462
2110,0,0.008825,0.006860
2120,0,0.009814,0.006866
