fpr,tpr,threshold
0.000000,0.000000,inf
0.000933,0.552780,0.957617
0.001800,0.621720,0.934826
0.002733,0.627760,0.932757
0.003900,0.629540,0.930958
0.004833,0.630560,0.929344
0.006300,0.631620,0.927813
0.007700,0.632780,0.926487
0.009000,0.633780,0.924856
0.010200,0.634660,0.923115
0.011133,0.637680,0.920621
0.012067,0.641600,0.917863
0.012900,0.644160,0.915583
0.013933,0.647260,0.912981
0.014800,0.653040,0.910656
0.015700,0.660280,0.908539
0.016733,0.663660,0.907184
0.017667,0.669460,0.905828
0.018633,0.673440,0.904412
0.019567,0.676100,0.903066
0.020633,0.679800,0.901706
0.021600,0.682060,0.900521
0.022467,0.687060,0.898487
0.023300,0.692140,0.896369
0.024333,0.695600,0.894488
0.025200,0.698740,0.892871
0.026133,0.703000,0.891282
0.027433,0.705480,0.889260
0.029333,0.706280,0.886785
0.030467,0.707360,0.884790
0.031767,0.708320,0.882787
0.033033,0.709340,0.880178
0.034033,0.710360,0.878849
0.035267,0.711660,0.877664
0.036333,0.713100,0.876400
0.037767,0.714000,0.874425
0.038867,0.715120,0.872750
0.040067,0.716500,0.871128
0.041433,0.717620,0.869449
0.042467,0.718820,0.867798
0.043800,0.720000,0.866399
0.045267,0.720840,0.865180
0.046433,0.721760,0.864133
0.047700,0.722800,0.863184
0.048833,0.723980,0.862049
0.050233,0.725160,0.860920
0.051933,0.726140,0.859469
0.053200,0.727520,0.857888
0.054400,0.729020,0.856508
0.055733,0.730400,0.855005
0.057200,0.731600,0.853364
0.058400,0.733120,0.851943
0.059567,0.734360,0.850765
0.060633,0.735840,0.849341
0.062167,0.736940,0.848037
0.063433,0.738060,0.846987
0.064567,0.739400,0.845799
0.065700,0.740700,0.844624
0.066767,0.742380,0.843388
0.068000,0.744840,0.841985
0.069200,0.747560,0.840956
0.070233,0.749300,0.840268
0.071167,0.752420,0.838915
0.072133,0.755000,0.837604
0.072967,0.757200,0.836303
0.074000,0.759560,0.835069
0.075067,0.761060,0.834125
0.076133,0.763240,0.832774
0.077867,0.764160,0.830609
0.079567,0.764940,0.828841
0.081233,0.765940,0.826778
0.082400,0.767600,0.823997
0.083533,0.769280,0.821023
0.084500,0.771140,0.818320
0.085600,0.773340,0.815545
0.086600,0.775840,0.812695
0.087767,0.777640,0.809932
0.088900,0.778800,0.808098
0.090133,0.780280,0.805644
0.091533,0.781340,0.803110
0.092933,0.782420,0.801162
0.094033,0.784060,0.798050
0.095100,0.786040,0.794295
0.096067,0.787940,0.789798
0.097033,0.790720,0.782091
0.098033,0.793200,0.774042
0.099367,0.794780,0.766820
0.100567,0.795800,0.761739
0.102833,0.796660,0.757499
0.104033,0.798140,0.753821
0.105300,0.799240,0.750047
0.106567,0.801880,0.740560
0.107700,0.803320,0.732159
0.109000,0.805220,0.724284
0.110267,0.806420,0.719136
0.111467,0.808080,0.712231
0.112800,0.808960,0.708336
0.115267,0.809620,0.705817
0.118533,0.810420,0.702998
0.121133,0.810960,0.700228
0.123300,0.811680,0.696049
0.125067,0.812620,0.692415
0.126733,0.813420,0.689490
0.128333,0.814140,0.686554
0.129467,0.815300,0.682542
