fpr,tpr,threshold
0.000000,0.000000,inf
0.000800,0.195740,21.914067
0.001633,0.214900,21.744216
0.002533,0.221420,21.693552
0.003600,0.226360,21.622866
0.004667,0.231200,21.557317
0.005600,0.238820,21.488434
0.006533,0.253660,21.414340
0.007367,0.266840,21.363498
0.008267,0.270880,21.342563
0.009100,0.281700,21.299033
0.009967,0.294140,21.244634
0.010833,0.300560,21.212781
0.011700,0.312420,21.166589
0.012600,0.319920,21.133399
0.013467,0.326720,21.102641
0.014400,0.332880,21.077111
0.015433,0.341160,21.034065
0.016300,0.372180,20.868782
0.017167,0.404280,20.657770
0.018033,0.432560,20.492115
0.018867,0.443720,20.428369
0.019700,0.467880,20.218526
0.020567,0.493780,19.990909
0.021533,0.496640,19.972867
0.022367,0.503160,19.918943
0.023400,0.508440,19.864452
0.024300,0.524840,19.674044
0.025167,0.534640,19.554077
0.026000,0.548560,19.381405
0.026833,0.562700,19.171640
0.027800,0.568140,19.111901
0.029067,0.569580,19.092159
0.030100,0.577300,18.991873
0.030967,0.582380,18.933564
0.032000,0.584080,18.903449
0.033267,0.585860,18.877418
0.034500,0.587260,18.860966
0.035567,0.588840,18.844807
0.036600,0.591460,18.821405
0.037533,0.593880,18.795258
0.038467,0.597960,18.761486
0.039500,0.600080,18.718585
0.040433,0.602620,18.686393
0.041400,0.606180,18.632515
0.042400,0.613340,18.553585
0.043500,0.615360,18.519471
0.044367,0.621320,18.425014
0.045333,0.625980,18.358711
0.046333,0.629800,18.317552
0.047333,0.632460,18.263298
0.048333,0.635860,18.183045
0.049300,0.641520,18.065872
0.050200,0.668680,17.494438
0.051067,0.689200,16.978896
0.051900,0.710040,16.348760
0.052733,0.732340,15.558749
0.053567,0.747700,14.895792
0.054433,0.759040,14.442634
0.055267,0.780140,13.238021
0.056100,0.801160,12.096702
0.056933,0.816360,11.016017
0.057767,0.827540,10.070232
0.058600,0.838880,9.241953
0.059433,0.848460,8.515188
0.061633,0.849580,8.437940
0.063133,0.850800,8.295926
0.064433,0.853940,8.168104
0.065633,0.855140,8.093819
0.068167,0.856080,8.033196
0.069733,0.857280,7.924914
0.072400,0.858540,7.817437
0.073800,0.859620,7.737539
0.083500,0.860160,7.582949
0.087367,0.860700,7.527687
0.089633,0.861600,7.483595
0.091633,0.862520,7.441499
0.094200,0.863100,7.386539
0.102767,0.863620,7.192765
0.104733,0.864260,7.160570
0.108233,0.864820,7.127854
0.112700,0.865400,7.034701
0.119533,0.866000,6.937308
0.123333,0.866700,6.855042
0.127033,0.867280,6.749884
0.129767,0.868580,6.575855
0.132867,0.869600,6.393349
0.134733,0.870520,6.192103
0.136000,0.872080,6.127790
0.137000,0.874320,6.009274
0.138233,0.876220,5.935583
0.139433,0.877340,5.866338
0.140467,0.881280,5.536842
0.141833,0.882380,5.461351
0.143200,0.883300,5.404598
0.145767,0.884040,5.334255
0.148333,0.884780,5.262279
0.151367,0.885440,5.190642
0.153133,0.886380,5.066043
0.154700,0.887180,4.977635
0.155933,0.888840,4.842144
0.157000,0.891460,4.670615
0.158333,0.894500,4.477815
0.159400,0.897140,4.362038
0.160400,0.899020,4.262864
0.161900,0.899800,4.184137
0.163933,0.900440,4.113232
0.165000,0.902980,3.909484
0.166133,0.905420,3.778649
0.167733,0.906720,3.701659
0.169000,0.908700,3.567456
0.170067,0.910780,3.442129
0.171300,0.912160,3.359006
0.172200,0.917200,3.105321
0.173700,0.918940,3.018144
0.175167,0.919780,2.971057
0.176333,0.922240,2.826165
0.177300,0.926180,2.584563
0.178733,0.927780,2.474871
0.180967,0.928540,2.385214
0.181833,0.930180,2.359661
0.183633,0.931340,2.285391
0.184900,0.932840,2.241327
0.186400,0.933840,2.170028
0.188000,0.934480,2.108108
0.189400,0.935120,2.043284
0.191667,0.935860,1.973592
0.193767,0.936640,1.912174
0.195633,0.937560,1.845127
0.197200,0.938500,1.802278
0.200067,0.939340,1.770654
0.202300,0.940160,1.740604
0.204067,0.941260,1.710543
0.205200,0.942840,1.675192
0.206333,0.944040,1.643302
0.207300,0.946320,1.609909
0.208300,0.949540,1.572428
0.209267,0.953800,1.524205
0.210333,0.956020,1.499738
0.211333,0.957980,1.475777
0.212267,0.960100,1.452743
0.213267,0.961860,1.430292
0.214133,0.963260,1.412522
0.215233,0.965560,1.384437
0.216200,0.967680,1.361618
0.217067,0.969600,1.339610
0.218133,0.971460,1.312752
0.219467,0.972700,1.291655
0.220533,0.973860,1.270713
0.222000,0.974980,1.246671
0.223400,0.975900,1.229396
0.224700,0.976920,1.211639
0.226267,0.978120,1.188789
0.227500,0.979020,1.168509
0.229167,0.980020,1.141091
0.230333,0.981040,1.118257
0.233067,0.981620,1.096935
0.235767,0.982280,1.066503
0.242567,0.982840,1.024863
0.246167,0.983520,0.994565
0.251500,0.984140,0.964976
0.256100,0.984980,0.896519
0.259000,0.985760,0.813338
0.260967,0.986720,0.756511
0.262333,0.988060,0.696456
0.265300,0.988800,0.644367
0.269033,0.989400,0.597814
0.274200,0.989980,0.555520
0.279900,0.990580,0.519207
0.289800,0.991140,0.453834
0.295433,0.991740,0.439172
0.301633,0.992440,0.426916
0.371867,0.992940,0.351756
0.428000,0.993440,0.321637
0.479267,0.993940,0.305917
0.622267,0.994440,0.280281
0.697800,0.994940,0.263398
0.865600,0.995440,0.218334
0.879900,0.995980,0.211015
0.931267,0.996480,0.179709
0.956033,0.997000,0.122040
0.984800,0.997820,0.043857
0.987667,0.998900,0.033628
0.990967,0.999560,0.020930
1.000000,1.000000,0.008571
