fpr,tpr,threshold
0.000000,0.000000,inf
0.000000,0.113297,1.000000
0.000000,0.115450,1.000000
0.000000,0.116360,1.000000
0.000000,0.117040,1.000000
0.000000,0.117617,1.000000
0.000000,0.118100,1.000000
0.000000,0.118670,1.000000
0.000000,0.119113,1.000000
0.000000,0.119597,1.000000
0.000000,0.120030,1.000000
0.000000,0.120477,1.000000
0.000000,0.120910,1.000000
0.000000,0.121377,1.000000
0.000000,0.121860,1.000000
0.000000,0.122537,1.000000
0.000000,0.122970,1.000000
0.000000,0.123697,1.000000
0.000000,0.124850,1.000000
0.000000,0.125880,1.000000
0.000000,0.126580,1.000000
0.000000,0.127160,1.000000
0.000000,0.131570,1.000000
0.000150,0.484020,0.982567
0.000567,0.703093,0.683254
0.000983,0.748077,0.497991
0.001550,0.767153,0.395300
0.001983,0.770080,0.381174
0.002400,0.778447,0.340269
0.002817,0.784080,0.315166
0.003233,0.787387,0.301013
0.003650,0.791943,0.283114
0.004067,0.794887,0.272027
0.004500,0.798263,0.259659
0.004933,0.800650,0.249582
0.005367,0.802153,0.243050
0.005817,0.803910,0.235172
0.006283,0.806060,0.226516
0.006700,0.807510,0.219211
0.007133,0.809617,0.208859
0.007583,0.811433,0.201386
0.008017,0.813670,0.193457
0.008467,0.815263,0.188935
0.008933,0.816313,0.185550
0.009383,0.817730,0.180922
0.009800,0.819260,0.176445
0.010233,0.820723,0.172088
0.010667,0.822360,0.167879
0.011083,0.824050,0.163619
0.011533,0.825710,0.158683
0.011967,0.827937,0.152490
0.012433,0.829060,0.149228
0.012917,0.830223,0.145566
0.013367,0.831860,0.140860
0.013800,0.833510,0.135900
0.014233,0.835307,0.129902
0.014683,0.837533,0.124336
0.015100,0.839520,0.118443
0.015533,0.842400,0.110760
0.015967,0.844693,0.104551
0.016450,0.845963,0.101097
0.016883,0.847050,0.098773
0.017333,0.848187,0.096354
0.017833,0.848610,0.095643
0.018250,0.849600,0.093610
0.018700,0.850917,0.091627
0.019133,0.852423,0.089426
0.019583,0.853957,0.087430
0.020000,0.855280,0.085026
0.020450,0.857067,0.082532
0.020917,0.858013,0.080988
0.021350,0.859263,0.078591
0.021783,0.860393,0.076713
0.022267,0.861850,0.074565
0.022683,0.862877,0.073087
0.023100,0.864760,0.071207
0.023600,0.866670,0.069522
0.024100,0.867873,0.068302
0.024550,0.869023,0.067161
0.025050,0.870043,0.066090
0.025467,0.871110,0.065110
0.025933,0.872267,0.064225
0.026367,0.872997,0.063771
0.026833,0.873873,0.063204
0.027283,0.874930,0.062561
0.027733,0.876047,0.061842
0.028183,0.877117,0.061141
0.028617,0.878157,0.060522
0.029050,0.879073,0.059924
0.029483,0.879967,0.059371
0.029950,0.880603,0.058858
0.030400,0.881200,0.058390
0.030850,0.882220,0.057678
0.031317,0.883033,0.057127
0.031833,0.884090,0.056435
0.032283,0.885120,0.055823
0.032717,0.886160,0.055201
0.033183,0.887013,0.054608
0.033617,0.888260,0.053724
0.034033,0.889053,0.053207
0.034450,0.890020,0.052640
0.034867,0.891243,0.051957
0.035317,0.892790,0.051237
0.035750,0.893863,0.050758
0.036167,0.895327,0.050119
0.036583,0.897297,0.049170
0.037017,0.899113,0.048291
0.037467,0.900160,0.047666
0.037900,0.902000,0.046783
0.038333,0.903523,0.046098
0.038783,0.904333,0.045550
0.039200,0.905630,0.044971
0.039667,0.906487,0.044606
0.040150,0.907457,0.044212
0.040567,0.908757,0.043690
0.040983,0.909800,0.043254
0.041467,0.910750,0.042778
0.041933,0.911310,0.042453
0.042383,0.912347,0.041832
0.042833,0.913640,0.040917
0.043283,0.914310,0.040507
0.043767,0.915213,0.039915
0.044217,0.915993,0.039398
0.044700,0.916860,0.038812
0.045200,0.917373,0.038362
0.045667,0.918123,0.037649
0.046133,0.918767,0.037046
0.046600,0.919187,0.036741
0.047083,0.919817,0.036260
0.047567,0.920277,0.035861
0.048017,0.920777,0.035434
0.048483,0.921303,0.035108
0.049000,0.922097,0.034600
0.049450,0.922897,0.034045
0.049933,0.923630,0.033494
0.050583,0.924043,0.033092
0.051067,0.924570,0.032666
0.051550,0.925087,0.032323
0.052017,0.925760,0.031868
0.052533,0.926310,0.031416
0.052983,0.926717,0.031072
0.053433,0.927303,0.030575
0.054017,0.927717,0.030089
0.054533,0.928260,0.029567
0.055050,0.928640,0.029211
0.055500,0.928957,0.028967
0.056017,0.929363,0.028662
0.056533,0.929940,0.028213
0.057117,0.930400,0.027836
0.057683,0.930800,0.027479
0.058217,0.931110,0.027183
0.058783,0.931467,0.026818
0.059283,0.931857,0.026454
0.059800,0.932180,0.026176
0.060317,0.932560,0.025824
0.060850,0.932830,0.025535
0.061433,0.933233,0.025192
