fpr,tpr,threshold
0.000000,0.000000,inf
0.000000,0.043220,312.962767
0.000000,0.044110,312.962767
0.000000,0.044623,312.962767
0.000000,0.045050,312.962767
0.000000,0.045743,312.962767
0.000000,0.046477,312.962767
0.000000,0.047057,312.962767
0.000000,0.047903,312.962767
0.000000,0.051390,312.962767
0.000000,0.055690,312.962767
0.000000,0.057913,312.962767
0.000000,0.059390,312.962767
0.000000,0.061470,312.962767
0.000000,0.065993,312.962767
0.000000,0.072210,312.962765
0.000000,0.076357,312.962761
0.000000,0.112907,312.774464
0.000000,0.115877,312.770587
0.000000,0.119007,312.770061
0.000000,0.121893,312.769585
0.000000,0.123673,312.769418
0.000000,0.125953,312.769359
0.000000,0.128090,312.769293
0.000000,0.129457,312.769241
0.000000,0.131133,312.769064
0.000000,0.141583,312.594684
0.000000,0.143180,312.575550
0.000000,0.150153,312.242037
0.000317,0.805317,54.838233
0.000733,0.807830,52.591548
0.001200,0.808750,51.826789
0.001717,0.815137,47.295527
0.002183,0.820127,43.584355
0.002617,0.823107,40.997790
0.003067,0.824997,39.661256
0.003517,0.826277,38.707151
0.003933,0.828720,36.883747
0.004367,0.830540,35.606828
0.004800,0.831593,34.844212
0.005217,0.833673,33.392486
0.005633,0.836387,31.616412
0.006083,0.839900,29.839512
0.006500,0.845407,27.855338
0.006917,0.851563,26.056596
0.007333,0.855517,25.048933
0.007750,0.858940,24.291872
0.008183,0.864673,23.104741
0.008600,0.869347,21.899338
0.009017,0.873420,20.696271
0.009433,0.878933,18.893007
0.009900,0.881543,18.089755
0.010350,0.882920,17.706602
0.010783,0.885953,16.991981
0.011200,0.896303,15.360572
0.011617,0.898653,14.974744
0.012117,0.899587,14.841828
0.012600,0.902743,14.361296
0.013050,0.904633,14.108261
0.013617,0.905207,14.020834
0.014067,0.905703,13.956240
0.014650,0.906167,13.885607
0.015150,0.906753,13.806610
0.015650,0.907263,13.747488
0.016100,0.908023,13.650218
0.016517,0.910023,13.372118
0.016950,0.911890,13.101598
0.017367,0.913713,12.825471
0.017800,0.914820,12.666985
0.018233,0.916680,12.387007
0.018667,0.918887,12.050050
0.019133,0.919553,11.948598
0.019567,0.920460,11.823078
0.020000,0.921517,11.661928
0.020417,0.922657,11.488513
0.020833,0.923750,11.327023
0.021283,0.924473,11.195945
0.021717,0.925250,11.059982
0.022167,0.926890,10.829959
0.022583,0.928007,10.656363
0.023000,0.929443,10.451363
0.023433,0.931160,10.192636
0.023883,0.933097,9.917873
0.024350,0.934433,9.746942
0.024800,0.935383,9.621532
0.025250,0.937093,9.410857
0.025683,0.938930,9.189618
0.026117,0.940493,8.975103
0.026550,0.941987,8.805221
0.027000,0.943397,8.646666
0.027433,0.944603,8.526849
0.027850,0.945693,8.403947
0.028367,0.946703,8.283350
0.028817,0.947953,8.139820
0.029267,0.948787,8.037846
0.029717,0.949853,7.914069
0.030133,0.950513,7.835867
0.030567,0.951410,7.726922
0.031033,0.952170,7.632474
0.031517,0.952677,7.568169
0.031983,0.953230,7.496960
0.032483,0.953653,7.442853
0.032933,0.954370,7.361024
0.033367,0.955173,7.275449
0.033850,0.955693,7.213826
0.034317,0.956390,7.136895
0.034867,0.956800,7.083827
0.035367,0.957123,7.042489
0.036017,0.957393,7.010822
0.036533,0.957650,6.984219
0.037233,0.957937,6.951710
0.037900,0.958163,6.924079
0.038417,0.958390,6.895144
0.039033,0.958653,6.861741
0.039600,0.958967,6.822273
0.040383,0.959160,6.793616
0.041083,0.959410,6.757794
0.041650,0.959683,6.731345
0.042217,0.960007,6.690096
0.042833,0.960237,6.658574
0.043417,0.960417,6.635226
0.043933,0.960780,6.591567
0.044500,0.961060,6.561668
0.044983,0.961577,6.506108
0.045550,0.961977,6.462072
0.046250,0.962203,6.433817
0.046750,0.962517,6.390370
0.047367,0.962760,6.359789
0.047983,0.963410,6.281035
0.048600,0.963817,6.231210
0.049067,0.964180,6.192465
0.049767,0.964627,6.138909
0.050317,0.965317,6.048620
0.051067,0.965447,6.024317
0.051567,0.965817,5.972092
0.052200,0.965977,5.948887
0.052717,0.966393,5.886180
0.053217,0.966770,5.827454
0.053833,0.967007,5.796426
0.054417,0.967360,5.746395
0.055067,0.967700,5.695682
0.055600,0.968097,5.632448
0.056083,0.968537,5.560361
0.056767,0.968770,5.526040
0.057250,0.969400,5.418041
0.057950,0.969637,5.379978
0.058600,0.970150,5.299928
0.059200,0.970397,5.256750
0.059900,0.970633,5.224500
0.060517,0.970887,5.188603
0.061183,0.971067,5.167199
0.062100,0.971210,5.143476
0.063000,0.971413,5.116785
0.063667,0.971623,5.083850
0.064333,0.971933,5.042974
0.065150,0.972143,5.014289
0.065950,0.972303,4.985304
0.066633,0.972487,4.962140
0.067383,0.972610,4.936395
0.068167,0.972840,4.892597
0.068933,0.973053,4.860585
0.070300,0.973167,4.836643
0.071067,0.973393,4.801512
0.071867,0.973613,4.765246
0.072483,0.973770,4.741904
0.073183,0.973970,4.706104
0.074500,0.974090,4.681449
0.075367,0.974240,4.657514
0.076717,0.974380,4.635687
0.078083,0.974510,4.610504
0.079450,0.974640,4.579830
0.080417,0.974823,4.539935
0.081483,0.974987,4.505133
0.082417,0.975107,4.477271
0.083200,0.975283,4.437722
0.083900,0.975470,4.389931
0.084583,0.975690,4.351784
0.085133,0.975990,4.301726
0.085900,0.976363,4.230018
0.086667,0.976607,4.178436
0.087200,0.976830,4.136626
0.087883,0.977060,4.089915
0.088683,0.977253,4.060484
0.089233,0.977543,4.016212
0.089800,0.977797,3.972882
0.090350,0.978157,3.905948
0.091283,0.978357,3.870139
0.091850,0.978663,3.828559
0.092700,0.978837,3.798289
0.093383,0.978980,3.773773
0.093983,0.979370,3.708185
0.094467,0.979567,3.665633
0.095150,0.979763,3.630002
0.095667,0.980030,3.580806
0.096383,0.980223,3.537815
0.096917,0.980457,3.495461
0.097517,0.980850,3.423679
0.098150,0.981230,3.356805
0.098750,0.981497,3.299339
0.099417,0.981713,3.256037
0.099983,0.981963,3.211211
0.100600,0.982150,3.172200
0.101333,0.982353,3.121010
0.102017,0.982570,3.083814
0.102667,0.982767,3.047105
0.103417,0.982957,3.002598
0.104183,0.983133,2.976119
0.104967,0.983317,2.946641
0.105667,0.983467,2.917906
0.106350,0.983627,2.891565
0.107333,0.983780,2.863160
0.108167,0.984000,2.832809
0.108933,0.984190,2.796821
0.109883,0.984333,2.767314
0.110800,0.984493,2.738788
0.111867,0.984670,2.707265
0.112800,0.984780,2.680075
0.114333,0.984917,2.650085
0.115067,0.985097,2.620551
0.116017,0.985267,2.593755
0.117133,0.985440,2.572195
0.118133,0.985580,2.547837
0.118917,0.985773,2.523373
0.120283,0.985907,2.498735
0.121733,0.986063,2.474315
0.122567,0.986190,2.454177
0.123417,0.986317,2.430402
0.124367,0.986480,2.402182
0.125983,0.986577,2.382323
0.127450,0.986710,2.361486
0.128717,0.986830,2.335514
0.129950,0.986953,2.315659
0.131333,0.987097,2.287113
0.133150,0.987237,2.260871
0.134567,0.987340,2.239424
0.136617,0.987437,2.214588
0.138533,0.987540,2.188123
0.139983,0.987647,2.165887
0.141700,0.987750,2.143787
0.143567,0.987863,2.125580
0.146733,0.987963,2.097800
0.149083,0.988053,2.076553
0.151900,0.988160,2.052847
0.154550,0.988277,2.030262
0.156433,0.988370,2.014991
0.159900,0.988470,1.989940
0.161450,0.988563,1.978645
0.163400,0.988653,1.964043
0.165450,0.988747,1.953009
0.167100,0.988840,1.941049
0.168733,0.988963,1.927191
0.170550,0.989063,1.910186
0.172283,0.989167,1.894513
0.173733,0.989257,1.876815
0.174900,0.989370,1.861946
0.176483,0.989470,1.841721
0.177600,0.989610,1.824319
0.179383,0.989727,1.801100
0.181100,0.989833,1.774346
0.183017,0.989940,1.749103
0.184683,0.990043,1.731663
0.186267,0.990143,1.707467
0.188000,0.990240,1.683067
0.189450,0.990363,1.660376
0.191233,0.990463,1.633988
0.193067,0.990563,1.610540
0.195167,0.990657,1.584741
0.197117,0.990753,1.561819
0.198667,0.990860,1.546638
0.200367,0.990973,1.529006
0.203333,0.991080,1.505080
0.205333,0.991187,1.486175
0.207417,0.991300,1.465363
0.209733,0.991393,1.449203
0.212050,0.991487,1.436579
0.215100,0.991577,1.424723
