attack,method,benign_src,offset_start,offset_end,eta_g,eta_s,TPR,FPR,Precision,F1,Accuracy,AUC,EER,tp,fp,fn,tn,n_benign_test,n_attack
DDoS-UDP_Flood,Tenko_committed_50_20,BenignTraffic.pcap,1,120000,50.000000,20.000000,0.922020,0.006950,0.991036,0.955283,0.960764,0.972180,0.046797,46101,417,3899,59583,60000,50000
DDoS-UDP_Flood,Tenko_benign_calib@1%,BenignTraffic.pcap,1,120000,13.606515,2.529978,0.959380,0.086033,0.948942,0.954132,0.942350,0.972180,0.046797,47969,2581,2031,27419,30000,50000
DDoS-UDP_Flood,Tenko_benign_calib@5%,BenignTraffic.pcap,1,120000,8.823013,0.684439,0.972520,0.211467,0.884592,0.926474,0.903525,0.972180,0.046797,48626,6344,1374,23656,30000,50000
DDoS-UDP_Flood,Kitsune_median_mad,BenignTraffic.pcap,1,120000,0.009578,nan,0.979420,0.213633,0.792552,0.876133,0.874118,0.985212,0.039873,48971,12818,1029,47182,60000,50000
DoS-SYN_Flood,Tenko_committed_50_20,BenignTraffic.pcap,600001,720000,50.000000,20.000000,0.994840,0.146550,0.849782,0.916608,0.917718,0.995255,0.028328,49742,8793,258,51207,60000,50000
DoS-SYN_Flood,Tenko_benign_calib@1%,BenignTraffic.pcap,600001,720000,152.590570,31.468519,0.991060,0.193167,0.895299,0.940749,0.921975,0.995255,0.028328,49553,5795,447,24205,30000,50000
DoS-SYN_Flood,Tenko_benign_calib@5%,BenignTraffic.pcap,600001,720000,61.892241,7.321908,0.995360,0.364167,0.819996,0.899208,0.860537,0.995255,0.028328,49768,10925,232,19075,30000,50000
DoS-SYN_Flood,Kitsune_median_mad,BenignTraffic.pcap,600001,720000,0.012392,nan,0.996680,0.351883,0.702412,0.824063,0.806555,0.993562,0.044900,49834,21113,166,38887,60000,50000
Recon-OSScan,Tenko_committed_50_20,BenignTraffic1.pcap,1,120000,50.000000,20.000000,0.405700,0.000000,1.000000,0.577221,0.729864,0.971443,0.054737,20285,0,29715,60000,60000,50000
Recon-OSScan,Tenko_benign_calib@1%,BenignTraffic1.pcap,1,120000,3.155449,2.147123,0.940920,0.035133,0.978087,0.959144,0.949900,0.971443,0.054737,47046,1054,2954,28946,30000,50000
Recon-OSScan,Tenko_benign_calib@5%,BenignTraffic1.pcap,1,120000,2.998660,0.913871,0.977020,0.087233,0.949153,0.962885,0.952925,0.971443,0.054737,48851,2617,1149,27383,30000,50000
Recon-OSScan,Kitsune_median_mad,BenignTraffic1.pcap,1,120000,0.047192,nan,0.595160,0.020267,0.960741,0.735001,0.804927,0.761882,0.311097,29758,1216,20242,58784,60000,50000
MITM-ArpSpoofing,Tenko_committed_50_20,BenignTraffic1.pcap,600001,720000,50.000000,20.000000,0.009540,0.029983,0.209578,0.018249,0.533436,0.342057,0.595853,477,1799,49523,58201,60000,50000
MITM-ArpSpoofing,Tenko_benign_calib@1%,BenignTraffic1.pcap,600001,720000,18.302204,11.499985,0.132800,0.996500,0.181744,0.153464,0.084312,0.342057,0.595853,6640,29895,43360,105,30000,50000
MITM-ArpSpoofing,Tenko_benign_calib@5%,BenignTraffic1.pcap,600001,720000,17.456487,11.360663,0.142940,0.999333,0.192501,0.164059,0.089588,0.342057,0.595853,7147,29980,42853,20,30000,50000
MITM-ArpSpoofing,Kitsune_median_mad,BenignTraffic1.pcap,600001,720000,0.051143,nan,0.876980,0.968583,0.430044,0.577097,0.415764,0.164683,0.780172,43849,58115,6151,1885,60000,50000
Mirai-greeth_flood,Tenko_committed_50_20,BenignTraffic2.pcap,1,120000,50.000000,20.000000,0.921880,0.000000,1.000000,0.959352,0.964491,0.994035,0.012942,46094,0,3906,60000,60000,50000
Mirai-greeth_flood,Tenko_benign_calib@1%,BenignTraffic2.pcap,1,120000,8.794307,4.677660,0.987020,0.009233,0.994418,0.990705,0.988425,0.994035,0.012942,49351,277,649,29723,30000,50000
Mirai-greeth_flood,Tenko_benign_calib@5%,BenignTraffic2.pcap,1,120000,5.940554,1.875777,0.993800,0.062333,0.963732,0.978535,0.972750,0.994035,0.012942,49690,1870,310,28130,30000,50000
Mirai-greeth_flood,Kitsune_median_mad,BenignTraffic2.pcap,1,120000,0.080464,nan,0.915140,0.008883,0.988486,0.950400,0.956582,0.957360,0.075550,45757,533,4243,59467,60000,50000
DictionaryBruteForce,Tenko_committed_50_20,BenignTraffic3.pcap,1,120000,50.000000,20.000000,0.158040,0.000000,1.000000,0.272944,0.617291,0.791440,0.322642,7902,0,42098,60000,60000,50000
DictionaryBruteForce,Tenko_benign_calib@1%,BenignTraffic3.pcap,1,120000,5.561165,0.599355,0.917500,0.155633,0.907625,0.912536,0.890075,0.791440,0.322642,45875,4669,4125,25331,30000,50000
DictionaryBruteForce,Tenko_benign_calib@5%,BenignTraffic3.pcap,1,120000,5.535870,0.323136,0.957620,0.221433,0.878164,0.916172,0.890475,0.791440,0.322642,47881,6643,2119,23357,30000,50000
DictionaryBruteForce,Kitsune_median_mad,BenignTraffic3.pcap,1,120000,0.048471,nan,0.184640,0.058883,0.723228,0.294177,0.597264,0.472287,0.524232,9232,3533,40768,56467,60000,50000
