stream,detector,operating_point,target_fpr,TPR,FPR,Precision,microF1,Accuracy,AUC_ROC,AUC_PR,Accuracy@30,Accuracy@50
combined,Tenko,committed,,0.879303,0.006950,0.998422,0.935084,0.898261,0.989682,0.998034,0.958926,0.936177
combined,Tenko,cont@2%,0.020000,0.921517,0.020000,0.995678,0.957163,0.931264,0.989682,0.998034,0.962455,0.950758
combined,Tenko,cont@5%,0.050000,0.964967,0.050000,0.989743,0.977198,0.962472,0.989682,0.998034,0.954490,0.957483
combined,Tenko,orrule@2%,0.020000,0.980070,0.019967,0.995942,0.987942,0.980064,0.989682,0.998034,0.980044,0.980052
combined,Tenko,orrule@5%,0.050000,0.991247,0.049967,0.990019,0.990632,0.984378,0.989682,0.998034,0.962397,0.970640
combined,Kitsune,kitsune_medmad,,0.963680,0.197133,0.960695,0.962185,0.936878,0.973251,0.994924,0.851110,0.883273
combined,Kitsune,kitsune@2%,0.020000,0.855360,0.020000,0.995345,0.920059,0.876133,0.973251,0.994924,0.942608,0.917680
combined,Kitsune,kitsune@5%,0.050000,0.923747,0.050000,0.989290,0.955396,0.928122,0.973251,0.994924,0.942124,0.936873
DoS-SYN_Flood,Tenko,committed,,0.994840,0.146550,0.849782,0.916608,0.917718,0.995255,0.995951,,
DoS-SYN_Flood,Tenko,cont@2%,0.020000,0.965880,0.020000,0.975755,0.970792,0.973582,0.995255,0.995951,,
DoS-SYN_Flood,Tenko,cont@5%,0.050000,0.982080,0.050000,0.942423,0.961843,0.964582,0.995255,0.995951,,
DoS-SYN_Flood,Tenko,orrule@2%,0.020000,0.979720,0.020000,0.976089,0.977901,0.979873,0.995255,0.995951,,
DoS-SYN_Flood,Tenko,orrule@5%,0.050000,0.984420,0.050017,0.942534,0.963022,0.965636,0.995255,0.995951,,
DoS-SYN_Flood,Kitsune,kitsune_medmad,,0.995640,0.277217,0.749560,0.855251,0.846809,0.993562,0.993959,,
DoS-SYN_Flood,Kitsune,kitsune@2%,0.020000,0.942960,0.020000,0.975180,0.958799,0.963164,0.993562,0.993959,,
DoS-SYN_Flood,Kitsune,kitsune@5%,0.050000,0.958140,0.050000,0.941069,0.949528,0.953700,0.993562,0.993959,,
DDoS-UDP_Flood,Tenko,committed,,0.922020,0.006950,0.991036,0.955283,0.960764,0.972180,0.981798,,
DDoS-UDP_Flood,Tenko,cont@2%,0.020000,0.942420,0.020000,0.975166,0.958513,0.962918,0.972180,0.981798,,
DDoS-UDP_Flood,Tenko,cont@5%,0.050000,0.953720,0.050000,0.940812,0.947222,0.951691,0.972180,0.981798,,
DDoS-UDP_Flood,Tenko,orrule@2%,0.020000,0.950420,0.019967,0.975410,0.962753,0.966573,0.972180,0.981798,,
DDoS-UDP_Flood,Tenko,orrule@5%,0.050000,0.961540,0.049967,0.941302,0.951313,0.955264,0.972180,0.981798,,
DDoS-UDP_Flood,Kitsune,kitsune_medmad,,0.979000,0.197133,0.805390,0.883749,0.882927,0.985212,0.988792,,
DDoS-UDP_Flood,Kitsune,kitsune@2%,0.020000,0.946400,0.020000,0.975268,0.960617,0.964727,0.985212,0.988792,,
DDoS-UDP_Flood,Kitsune,kitsune@5%,0.050000,0.966560,0.050000,0.941552,0.953892,0.957527,0.985212,0.988792,,
Recon-OSScan,Tenko,committed,,0.405700,0.000000,1.000000,0.577221,0.729864,0.971443,0.977030,,
Recon-OSScan,Tenko,cont@2%,0.020000,0.927460,0.020000,0.974776,0.950529,0.956118,0.971443,0.977030,,
Recon-OSScan,Tenko,cont@5%,0.050000,0.944260,0.050000,0.940255,0.942253,0.947391,0.971443,0.977030,,
Recon-OSScan,Tenko,orrule@2%,0.020000,0.938280,0.020017,0.975039,0.956306,0.961027,0.971443,0.977030,,
Recon-OSScan,Tenko,orrule@5%,0.050000,0.968680,0.050000,0.941673,0.954986,0.958491,0.971443,0.977030,,
Recon-OSScan,Kitsune,kitsune_medmad,,0.594700,0.019633,0.961893,0.734987,0.805064,0.761882,0.823976,,
Recon-OSScan,Kitsune,kitsune@2%,0.020000,0.595000,0.020000,0.961228,0.735022,0.805000,0.761882,0.823976,,
Recon-OSScan,Kitsune,kitsune@5%,0.050000,0.617820,0.050000,0.911481,0.736456,0.799009,0.761882,0.823976,,
MITM-ArpSpoofing,Tenko,committed,,0.009540,0.029983,0.209578,0.018249,0.533436,0.342057,0.354430,,
MITM-ArpSpoofing,Tenko,cont@2%,0.020000,0.006520,0.020000,0.213630,0.012654,0.537509,0.342057,0.354430,,
MITM-ArpSpoofing,Tenko,cont@5%,0.050000,0.006520,0.050000,0.098016,0.012227,0.521145,0.342057,0.354430,,
MITM-ArpSpoofing,Tenko,orrule@2%,0.020000,0.009340,0.019983,0.280312,0.018078,0.538800,0.342057,0.354430,,
MITM-ArpSpoofing,Tenko,orrule@5%,0.050000,0.009600,0.050000,0.137931,0.017951,0.522545,0.342057,0.354430,,
MITM-ArpSpoofing,Kitsune,kitsune_medmad,,0.008440,0.000000,1.000000,0.016739,0.549291,0.164683,0.309531,,
MITM-ArpSpoofing,Kitsune,kitsune@2%,0.020000,0.008440,0.020000,0.260173,0.016350,0.538382,0.164683,0.309531,,
MITM-ArpSpoofing,Kitsune,kitsune@5%,0.050000,0.008440,0.050000,0.123320,0.015799,0.522018,0.164683,0.309531,,
Mirai-greeth_flood,Tenko,committed,,0.921880,0.000000,1.000000,0.959352,0.964491,0.994035,0.995943,,
Mirai-greeth_flood,Tenko,cont@2%,0.020000,0.988900,0.020000,0.976306,0.982562,0.984045,0.994035,0.995943,,
Mirai-greeth_flood,Tenko,cont@5%,0.050000,0.990480,0.050000,0.942883,0.966096,0.968400,0.994035,0.995943,,
Mirai-greeth_flood,Tenko,orrule@2%,0.020000,0.992700,0.019983,0.976413,0.984489,0.985782,0.994035,0.995943,,
Mirai-greeth_flood,Tenko,orrule@5%,0.050000,0.994520,0.050017,0.943084,0.968119,0.970227,0.994035,0.995943,,
Mirai-greeth_flood,Kitsune,kitsune_medmad,,0.907880,0.006033,0.992088,0.948118,0.954836,0.957360,0.970501,,
Mirai-greeth_flood,Kitsune,kitsune@2%,0.020000,0.919680,0.020000,0.974568,0.946329,0.952582,0.957360,0.970501,,
Mirai-greeth_flood,Kitsune,kitsune@5%,0.050000,0.923240,0.050000,0.938977,0.931042,0.937836,0.957360,0.970501,,
DictionaryBruteForce,Tenko,committed,,0.158040,0.000000,1.000000,0.272944,0.617291,0.791440,0.792790,,
DictionaryBruteForce,Tenko,cont@2%,0.020000,0.455980,0.020000,0.949998,0.616198,0.741809,0.791440,0.792790,,
DictionaryBruteForce,Tenko,cont@5%,0.050000,0.471260,0.050000,0.887061,0.615519,0.732391,0.791440,0.792790,,
DictionaryBruteForce,Tenko,orrule@2%,0.020000,0.893040,0.020000,0.973829,0.931686,0.940473,0.791440,0.792790,,
DictionaryBruteForce,Tenko,orrule@5%,0.050000,0.944800,0.049983,0.940305,0.942547,0.947645,0.791440,0.792790,,
DictionaryBruteForce,Kitsune,kitsune_medmad,,0.169480,0.022667,0.861704,0.283250,0.610127,0.472287,0.536745,,
DictionaryBruteForce,Kitsune,kitsune@2%,0.020000,0.165860,0.020000,0.873591,0.278789,0.609936,0.472287,0.536745,,
DictionaryBruteForce,Kitsune,kitsune@5%,0.050000,0.182580,0.050000,0.752659,0.293872,0.601173,0.472287,0.536745,,
