scope,model,attack,Accuracy,F1,MacroF1,AUC_ROC,EER,TPR,FPR,Precision,n_benign,n_pos
aggregate,Tenko,ALL,0.898261,0.935084,0.926034,0.989682,0.040747,0.879303,0.006950,0.998422,60000,300000
aggregate,Kitsune,ALL,0.934789,0.961014,0.868393,0.973251,0.065068,0.964473,0.213633,0.957579,60000,300000
per_attack,Tenko,DoS-SYN_Flood,0.992064,0.991267,nan,0.997640,0.009040,0.990880,0.006950,0.991653,60000,50000
per_attack,Tenko,DDoS-UDP_Flood,0.961882,0.956613,nan,0.976932,0.041920,0.924480,0.006950,0.991059,60000,50000
per_attack,Tenko,Recon-OSScan,0.824500,0.763213,nan,0.976735,0.076937,0.622240,0.006950,0.986774,60000,50000
per_attack,Tenko,MITM-ArpSpoofing,0.984536,0.982841,nan,0.997584,0.018363,0.974320,0.006950,0.991513,60000,50000
per_attack,Tenko,Mirai-greeth_flood,0.979745,0.977405,nan,0.996939,0.020300,0.963780,0.006950,0.991421,60000,50000
per_attack,Tenko,DictionaryBruteForce,0.905355,0.884863,nan,0.992259,0.043372,0.800120,0.006950,0.989684,60000,50000
per_attack,Kitsune,DoS-SYN_Flood,nan,0.884624,nan,0.997264,0.012618,0.996440,nan,nan,60000,50000
per_attack,Kitsune,DDoS-UDP_Flood,nan,0.876595,nan,0.985887,0.038692,0.980340,nan,nan,60000,50000
per_attack,Kitsune,Recon-OSScan,nan,0.840697,nan,0.935974,0.123810,0.911080,nan,nan,60000,50000
per_attack,Kitsune,MITM-ArpSpoofing,nan,0.869743,nan,0.978023,0.045718,0.966780,nan,nan,60000,50000
per_attack,Kitsune,Mirai-greeth_flood,nan,0.876695,nan,0.983027,0.045973,0.980540,nan,nan,60000,50000
per_attack,Kitsune,DictionaryBruteForce,nan,0.862003,nan,0.959331,0.085743,0.951660,nan,nan,60000,50000
