detector,attack_prevalence,TPR,FPR,Precision,microF1,Accuracy,AUC_ROC,AUC_PR
Tenko,0.833,0.879303,0.006950,0.998418,0.935083,0.898299,0.989682,0.998030
Kitsune,0.833,0.963680,0.197133,0.960605,0.962140,0.936824,0.973251,0.994912
Tenko,0.500,0.879303,0.006950,0.992158,0.932328,0.936177,0.989682,0.991999
Kitsune,0.500,0.963680,0.197133,0.830177,0.891960,0.883273,0.973251,0.980371
Tenko,0.300,0.879303,0.006950,0.981891,0.927770,0.958926,0.989682,0.984743
Kitsune,0.300,0.963680,0.197133,0.676902,0.795226,0.851110,0.973251,0.964905
Tenko,0.100,0.879303,0.006950,0.933591,0.905635,0.981675,0.989682,0.962382
Kitsune,0.100,0.963680,0.197133,0.351992,0.515641,0.818949,0.973251,0.925877
Tenko,0.050,0.879303,0.006950,0.869436,0.874342,0.987362,0.989682,0.942281
Kitsune,0.050,0.963680,0.197133,0.204643,0.337595,0.810908,0.973251,0.896171
