seed,is_committed_seed,detector,operating_point,eta_g,eta_s,TPR,FPR,Precision,microF1,Accuracy,AUC_ROC,AUC_PR,tpr_DoS-SYN_Flood,tpr_DDoS-UDP_Flood,tpr_Recon-OSScan,tpr_MITM-ArpSpoofing,tpr_Mirai-greeth_flood,tpr_DictionaryBruteForce,TP,FP,FN,TN,x1_seconds
1,0,Tenko,tenko_committed_eta(50/20),50.000000,20.000000,0.878237,0.007900,0.998204,0.934385,0.897214,0.988884,0.997886,0.990920,0.924360,0.617520,0.975100,0.965480,0.796040,263471,474,36529,59526,609.2
1,0,Tenko,tenko_orrule@2%_rederived,35.525408,2.810667,0.979817,0.020017,0.995931,0.987808,0.979844,0.988884,0.997886,0.991860,0.954580,0.950060,0.996360,0.988700,0.997340,293945,1201,6055,58799,609.2
1,0,Tenko,tenko_orrule@2%_fixed,30.140000,3.140000,0.979557,0.020350,0.995862,0.987642,0.979572,0.988884,0.997886,0.992180,0.954760,0.948240,0.996220,0.989460,0.996480,293867,1221,6133,58779,609.2
1,0,Kitsune,kitsune_medmad,,,0.963360,0.187650,0.962503,0.962931,0.938192,0.973645,0.994994,0.996100,0.980060,0.907360,0.966300,0.979660,0.950680,289008,11259,10992,48741,609.2
1,0,Kitsune,kitsune@2%,,,0.858053,0.020000,0.995360,0.921621,0.878378,0.973645,0.994994,0.989360,0.946720,0.610720,0.938600,0.929360,0.733560,257416,1200,42584,58800,609.2
7,0,Tenko,tenko_committed_eta(50/20),50.000000,20.000000,0.876560,0.007567,0.998277,0.933467,0.895872,0.988489,0.997812,0.990660,0.922640,0.615580,0.972500,0.962520,0.795460,262968,454,37032,59546,628.2
7,0,Tenko,tenko_orrule@2%_rederived,30.393161,3.146511,0.978603,0.019983,0.995933,0.987192,0.978839,0.988489,0.997812,0.991920,0.952680,0.946340,0.996080,0.988740,0.995860,293581,1199,6419,58801,628.2
7,0,Tenko,tenko_orrule@2%_fixed,30.140000,3.140000,0.978690,0.020233,0.995882,0.987211,0.978869,0.988489,0.997812,0.991920,0.952780,0.946600,0.996100,0.988840,0.995900,293607,1214,6393,58786,628.2
7,0,Kitsune,kitsune_medmad,,,0.962123,0.204733,0.959179,0.960649,0.934314,0.972222,0.994724,0.996200,0.978260,0.907720,0.963860,0.979540,0.947160,288637,12284,11363,47716,628.2
7,0,Kitsune,kitsune@2%,,,0.855293,0.020000,0.995345,0.920020,0.876078,0.972222,0.994724,0.989180,0.944900,0.608680,0.931440,0.927880,0.729680,256588,1200,43412,58800,628.2
42,0,Tenko,tenko_committed_eta(50/20),50.000000,20.000000,0.886040,0.008767,0.998025,0.938704,0.903572,0.988826,0.997870,0.991120,0.927240,0.632860,0.976880,0.968280,0.819860,265812,526,34188,59474,544.8
