packet_index,kitsune_score,192.168.2.15,192.168.100.5,192.168.2.13,169.254.174.17,192.168.2.7,192.168.2.1
100000,0.10667089,0.10667089,,,,,
101000,0.10352556,0.11081839,,,,,
102000,0.10030465,0.109536,,,,,
103000,0.10047363,0.10738735,,,,,
104000,0.076270007,,,0.075958999,,,
105000,0.041720243,,0.053213057,,,,
106000,0.079681147,,,0.07768477,,,
107000,0.10708459,0.10659244,,,,,
108000,0.04898148,,0.051756078,,,,
109000,0.048443213,,0.051279786,,,,
110000,0.084484575,,,0.079970607,,,
111000,0.056034199,,0.051258952,,,,
112000,0.11495915,0.10882236,,,,,
113000,0.051330274,,0.050922413,,,,
114000,0.12754082,0.11005251,,,,,
115000,0.12269499,0.11110799,,,,,
116000,0.091363997,,,0.083894438,,,
117000,0.065895875,,0.053491919,,,,
118000,0.066284191,,0.053983851,,,,
119000,0.08300688,,0.054932918,,,,
120000,0.14325198,0.11581007,,,,,
121000,0.096074741,,,0.086796743,,,
122000,0.14023378,0.1182567,,,,,
123000,0.15795501,0.1195968,,,,,
124000,0.15313238,0.12088698,,,,,
125000,0.10248857,,,0.089061124,,,
126000,0.16953359,0.12369685,,,,,
127000,0.15841715,0.12523985,,,,,
128000,0.10300952,,,0.09075412,,,
129000,0.17332902,0.12803267,,,,,
130000,0.17468276,0.12958577,,,,,
131000,0.11192881,,,0.092328772,,,
132000,0.1861096,0.13226935,,,,,
133000,0.10927582,,,0.093406802,,,
134000,0.10856131,,,0.093936436,,,
135000,0.19252406,0.13645817,,,,,
136000,0.11052272,,,0.094943352,,,
137000,0.20574406,0.13984034,,,,,
138000,0.17405944,,0.084792083,,,,
139000,0.11385326,,,0.096432075,,,
140000,0.11342884,,,0.096961961,,,
141000,0.11423507,,,0.097415153,,,
142000,0.25844954,0.15043339,,,,,
143000,0.25006092,0.15273741,,,,,
144000,0.2608944,0.1550647,,,,,
145000,0.25882093,0.15736817,,,,,
146000,0.27779073,0.1597137,,,,,
147000,0.23195737,,0.10775978,,,,
148000,0.27717564,0.16457846,,,,,
149000,0.30049702,0.16704929,,,,,
150000,0.29190189,0.16971074,,,,,
151000,0.29397545,0.17219501,,,,,
152000,0.29515432,0.17465595,,,,,
153000,0.2610735,,0.12385967,,,,
154000,0.29825209,0.17949391,,,,,
155000,0.31620363,0.18181293,,,,,
156000,0.3109445,0.18410115,,,,,
157000,0.12557126,,,0.10475351,,,
158000,0.32182551,0.18861474,,,,,
159000,0.32034033,0.19086466,,,,,
160000,0.12761104,,,0.10603487,,,
161000,0.12954969,,,0.1064276,,,
162000,0.32944028,0.19672034,,,,,
163000,0.12907347,,,0.10726645,,,
164000,0.13627968,,,0.10766134,,,
165000,0.12983965,,,0.10807061,,,
166000,0.30622631,0.20366286,,,,,
167000,0.13284255,,,0.10886438,,,
168000,0.31086596,0.20674279,,,,,
169000,0.25735222,,0.15711231,,,,
