attack,threshold_method,threshold,tpr,fpr,fnr,precision,f1,tn,fp,fn,tp,auc,eer
Mirai,mean,0.014267272443355968,0.8865113673835369,0.24358319073757195,0.11348863261646314,0.9817233203162777,0.9316911722235718,34038,10961,75372,588765,0.9283200860905712,0.12906588074872916
Mirai,min,0.002667049000146356,0.9999969885731408,0.9999777772839397,3.011426859211852e-06,0.9365450486721109,0.9672314985399812,1,44998,2,664135,0.9283200860905712,0.12906588074872916
Mirai,max,0.971911512717983,0.8526538952053567,0.0,0.14734610479464327,1.0,0.9204675491866167,44999,0,97858,566279,0.9283200860905712,0.12906588074872916
Mirai,max+std,0.9968560165460579,0.8526478723516383,0.0,0.1473521276483617,1.0,0.9204640396875193,44999,0,97862,566275,0.9283200860905712,0.12906588074872916
Mirai,mean+3sigma,0.08910078392758056,0.8540918515306329,0.00615569234871886,0.14590814846936706,0.9995119037340245,0.921097586323365,44722,277,96903,567234,0.9283200860905712,0.12906588074872916
Mirai,median+1.5MAD,0.013369603724856939,0.8910857247826879,0.2755839018644859,0.10891427521731212,0.9794754751706377,0.93319225665653,32598,12401,72334,591803,0.9283200860905712,0.12906588074872916
Mirai,p95,0.038670605525700494,0.8604625250513072,0.050001111135803016,0.13953747494869284,0.996078192133725,0.9233171655415995,42749,2250,92672,571465,0.9283200860905712,0.12906588074872916
Mirai,p99,0.06904825381378944,0.8546384255055809,0.010000222227160604,0.1453615744944191,0.9992078120296384,0.9212861066204397,44549,450,96540,567597,0.9283200860905712,0.12906588074872916
OS Scan,mean,0.18246583243171255,1.0,0.5014947839490321,0.0,0.0766956211119581,0.14246481476863565,786218,790933,0,65700,0.9787638554064338,0.039983500203066874
OS Scan,min,0.005499516311334168,1.0,0.9999993659453026,0.0,0.039991478223818364,0.07690731907172749,1,1577150,0,65700,0.9787638554064338,0.039983500203066874
OS Scan,max,0.4681033902259714,0.9937747336377474,0.04138665226094394,0.006225266362252624,0.500068931711651,0.665338523621245,1511878,65273,409,65291,0.9787638554064338,0.039983500203066874
OS Scan,max+std,0.5266834344886223,0.9928310502283105,0.04134543870561538,0.00716894977168947,0.5000804986315233,0.6651371235411981,1511943,65208,471,65229,0.9787638554064338,0.039983500203066874
OS Scan,mean+3sigma,0.3582059652196652,0.9953272450532724,0.043554485271226406,0.004672754946727586,0.4876981019502554,0.6546337312611057,1508459,68692,307,65393,0.9787638554064338,0.039983500203066874
OS Scan,median+1.5MAD,0.2374049399367498,0.9988127853881279,0.18379406917917182,0.0011872146118721005,0.1845943520688171,0.31160062014325973,1287280,289871,78,65622,0.9787638554064338,0.039983500203066874
OS Scan,p95,0.26944246512557035,0.9979147640791476,0.09865510658142436,0.002085235920852413,0.29645455490895606,0.45711277744660234,1421557,155594,137,65563,0.9787638554064338,0.039983500203066874
OS Scan,p99,0.3092928829306537,0.9964231354642313,0.06027767791416294,0.0035768645357686646,0.407800313956096,0.578742176173132,1482084,95067,235,65465,0.9787638554064338,0.039983500203066874
SSL Renegotiation,mean,20141696651.01734,0.7432219487976515,0.0162938445637911,0.25677805120234853,0.6723065657798389,0.7059878919606104,2026355,33564,23791,68861,0.9305859770489322,0.15188019876411035
