attack,threshold_method,tpr_paper,tpr_rebuilt,dtpr,fpr_paper,fpr_rebuilt,dfpr,fnr_paper,fnr_rebuilt,dfnr,prec_paper,prec_rebuilt,dprec,auc_rebuilt,eer_rebuilt
Mirai,max+std,0.881,0.8526,-0.0284,0.0,0.0,0.0,0.119,0.1474,0.0284,1.0,1.0,0.0,0.9283,0.1291
Mirai,mean,0.91,0.8865,-0.0235,0.251,0.2436,-0.0074,0.09,0.1135,0.0235,0.972,0.9817,0.0097,0.9283,0.1291
Mirai,min,1.0,1.0,-0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.906,0.9365,0.0305,0.9283,0.1291
Mirai,max,0.881,0.8527,-0.0283,0.0,0.0,0.0,0.119,0.1473,0.0283,1.0,1.0,0.0,0.9283,0.1291
Mirai,mean+3sigma,0.883,0.8541,-0.0289,0.006,0.0062,0.0002,0.117,0.1459,0.0289,0.999,0.9995,0.0005,0.9283,0.1291
Mirai,median+1.5MAD,0.91,0.8911,-0.0189,0.246,0.2756,0.0296,0.09,0.1089,0.0189,0.973,0.9795,0.0065,0.9283,0.1291
OS Scan,max+std,1.0,0.9928,-0.0072,0.218,0.0413,-0.1767,0.0,0.0072,0.0072,0.161,0.5001,0.3391,0.9788,0.04
OS Scan,mean,1.0,1.0,0.0,0.983,0.5015,-0.4815,0.0,0.0,0.0,0.041,0.0767,0.0357,0.9788,0.04
OS Scan,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.04,0.04,-0.0,0.9788,0.04
OS Scan,max,1.0,0.9938,-0.0062,0.272,0.0414,-0.2306,0.0,0.0062,0.0062,0.133,0.5001,0.3671,0.9788,0.04
OS Scan,mean+3sigma,1.0,0.9953,-0.0047,0.862,0.0436,-0.8184,0.0,0.0047,0.0047,0.046,0.4877,0.4417,0.9788,0.04
OS Scan,median+1.5MAD,1.0,0.9988,-0.0012,0.957,0.1838,-0.7732,0.0,0.0012,0.0012,0.042,0.1846,0.1426,0.9788,0.04
Fuzzing,max+std,1.0,0.0,-1.0,0.749,0.0,-0.749,0.0,1.0,1.0,0.248,0.0,-0.248,0.5336,0.4611
Fuzzing,mean,1.0,0.9808,-0.0192,0.985,0.7357,-0.2493,0.0,0.0192,0.0192,0.2,0.2473,0.0473,0.5336,0.4611
Fuzzing,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.198,0.1977,-0.0003,0.5336,0.4611
Fuzzing,max,1.0,0.0,-1.0,0.775,0.0,-0.775,0.0,1.0,1.0,0.241,0.0,-0.241,0.5336,0.4611
Fuzzing,mean+3sigma,1.0,0.0,-1.0,0.944,0.0,-0.944,0.0,1.0,1.0,0.207,0.3333,0.1263,0.5336,0.4611
Fuzzing,median+1.5MAD,1.0,0.0,-1.0,0.976,0.0025,-0.9735,0.0,1.0,1.0,0.202,0.002,-0.2,0.5336,0.4611
SSDP Flood,max+std,0.0,0.9991,0.9991,0.0,0.0006,0.0006,1.0,0.0009,-0.9991,0.219,0.9989,0.7799,0.9997,0.0008
SSDP Flood,mean,1.0,0.9997,-0.0003,0.773,0.669,-0.104,0.0,0.0003,0.0003,0.419,0.4544,0.0354,0.9997,0.0008
SSDP Flood,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.358,0.3579,-0.0001,0.9997,0.0008
SSDP Flood,max,0.0,0.9992,0.9992,0.0,0.0012,0.0012,1.0,0.0008,-0.9992,0.217,0.9978,0.7808,0.9997,0.0008
SSDP Flood,mean+3sigma,0.0,0.9994,0.9994,0.001,0.0021,0.0011,1.0,0.0006,-0.9994,0.053,0.9962,0.9432,0.9997,0.0008
SSDP Flood,median+1.5MAD,1.0,0.9996,-0.0004,0.983,0.0839,-0.8991,0.0,0.0004,0.0004,0.362,0.8691,0.5071,0.9997,0.0008
Active Wiretap,max+std,1.0,0.0,-1.0,0.813,0.0,-0.813,0.0,1.0,1.0,0.466,0.0,-0.466,0.4246,0.5064
Active Wiretap,mean,1.0,0.4837,-0.5163,0.973,0.4801,-0.4929,0.0,0.5163,0.5163,0.422,0.417,-0.005,0.4246,0.5064
Active Wiretap,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.415,0.4152,0.0002,0.4246,0.5064
Active Wiretap,max,1.0,0.0,-1.0,0.829,0.0,-0.829,0.0,1.0,1.0,0.461,1.0,0.539,0.4246,0.5064
Active Wiretap,mean+3sigma,1.0,0.0,-1.0,0.891,0.0,-0.891,0.0,1.0,1.0,0.444,0.4762,0.0322,0.4246,0.5064
Active Wiretap,median+1.5MAD,1.0,0.0,-1.0,0.942,0.0,-0.942,0.0,1.0,1.0,0.43,0.4762,0.0462,0.4246,0.5064
SSL Renegotiation,max+std,0.848,0.0,-0.848,0.019,0.0,-0.019,0.152,1.0,0.848,0.668,0.0,-0.668,0.9306,0.1519
SSL Renegotiation,mean,0.996,0.7432,-0.2528,0.983,0.0163,-0.9667,0.004,0.2568,0.2528,0.044,0.6723,0.6283,0.9306,0.1519
SSL Renegotiation,min,1.0,1.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.043,0.043,0.0,0.9306,0.1519
SSL Renegotiation,max,0.848,0.0,-0.848,0.019,0.0,-0.019,0.152,1.0,0.848,0.667,0.0,-0.667,0.9306,0.1519
SSL Renegotiation,mean+3sigma,0.849,0.0843,-0.7647,0.02,0.0019,-0.0181,0.151,0.9157,0.7647,0.658,0.6673,0.0093,0.9306,0.1519
SSL Renegotiation,median+1.5MAD,0.994,0.8483,-0.1457,0.977,0.1707,-0.8063,0.006,0.1517,0.1457,0.044,0.1827,0.1387,0.9306,0.1519
Video Injection,max+std,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4841,0.544
