device_id,device_name,attack,tn,fp,fn,tp,tpr,fpr,precision,f1,accuracy,auc,eer
1,Danmini_Doorbell,mirai.scan,4887,68,0,107685,1.0,0.013723511604439959,0.9993689270832367,0.999684363946936,0.9993963068181818,0.9999994115212612,0.00015662624014514809
1,Danmini_Doorbell,mirai.ack,4887,68,0,102195,1.0,0.013723511604439959,0.9993350478667749,0.9996674133562883,0.9993653756416239,1.0,0.0
1,Danmini_Doorbell,mirai.syn,4887,68,0,122573,1.0,0.013723511604439959,0.9994455361583809,0.9997226912003393,0.999466783765134,0.999999823824585,2.447521069077203e-05
1,Danmini_Doorbell,mirai.udp,4887,68,0,237665,1.0,0.013723511604439959,0.9997139648260864,0.9998569619560873,0.9997197263209958,0.9999997715751273,2.3141817263795678e-05
1,Danmini_Doorbell,mirai.udpplain,4887,68,0,81982,1.0,0.013723511604439959,0.9991712370505789,0.9995854467420991,0.9992178244015781,1.0,0.0
1,Danmini_Doorbell,gafgyt.combo,4887,68,0,59718,1.0,0.013723511604439959,0.9988626099755795,0.9994309813897443,0.9989485565846644,0.9999993849329318,5.023610971566362e-05
1,Danmini_Doorbell,gafgyt.junk,4887,68,0,29068,1.0,0.013723511604439959,0.9976661175178473,0.9988316954161226,0.9980013520265703,0.9999985072755391,0.00035662575953639174
1,Danmini_Doorbell,gafgyt.scan,4887,68,0,29849,1.0,0.013723511604439959,0.9977270448240131,0.9988622293611752,0.9980462015860246,0.9999986409901246,0.00020141405315601477
1,Danmini_Doorbell,gafgyt.tcp,4887,68,0,92141,1.0,0.013723511604439959,0.9992625448708912,0.999631136425278,0.9992996621899976,0.9931442521881444,0.0068604043876903395
1,Danmini_Doorbell,gafgyt.udp,4887,68,0,105874,1.0,0.013723511604439959,0.9993581393592721,0.9996789666503003,0.9993864421766866,0.9931423253583973,0.0068594817131884984
2,Ecobee_Thermostat,mirai.scan,1291,21,0,43192,1.0,0.01600609756097561,0.9995140351283178,0.9997569585093455,0.9995281323027143,0.9999999823533265,1.1576217818114466e-05
2,Ecobee_Thermostat,mirai.ack,1291,21,0,113285,1.0,0.01600609756097561,0.9998146611829912,0.9999073220030804,0.9998167491295583,1.0,0.0
2,Ecobee_Thermostat,mirai.syn,1291,21,0,116807,1.0,0.01600609756097561,0.9998202485705482,0.9999101162069038,0.9998222131917812,0.9999999869494958,8.561130754150008e-06
2,Ecobee_Thermostat,mirai.udp,1291,21,0,151481,1.0,0.01600609756097561,0.9998613879684757,0.9999306891805811,0.9998625591486521,1.0,0.0
2,Ecobee_Thermostat,mirai.udpplain,1291,21,0,87368,1.0,0.01600609756097561,0.9997596951561409,0.9998798331397312,0.9997631935047361,0.9999999825520758,1.1445838293196594e-05
2,Ecobee_Thermostat,gafgyt.combo,1291,21,0,53012,1.0,0.01600609756097561,0.9996040201384044,0.9998019708614267,0.9996134305279435,0.9999999137332919,9.431826756206143e-06
2,Ecobee_Thermostat,gafgyt.junk,1291,21,0,30312,1.0,0.01600609756097561,0.9993076846998319,0.9996537224833045,0.9993359473817354,0.9999998491300234,1.649511744523621e-05
2,Ecobee_Thermostat,gafgyt.scan,1291,21,0,27494,1.0,0.01600609756097561,0.9992367799382155,0.9996182442872984,0.9992709852114143,0.9999993346663663,3.637157197934095e-05
2,Ecobee_Thermostat,gafgyt.tcp,1291,21,0,95021,1.0,0.01600609756097561,0.9997790450537657,0.9998895103202622,0.9997820061661113,0.9999988369066556,9.471590490523148e-05
2,Ecobee_Thermostat,gafgyt.udp,1291,21,2,104789,0.999980914391503,0.01600609756097561,0.9997996374391757,0.9998902676991045,0.999783229503407,0.9999975633845859,0.0005814964501931953
3,Ennio_Doorbell,gafgyt.combo,3786,124,10,53004,0.9998113705813558,0.031713554987212275,0.9976660141544949,0.9987375402762337,0.9976459841191765,0.9999911136729119,0.00023162341810593483
3,Ennio_Doorbell,gafgyt.junk,3786,124,8,29789,0.9997315165956304,0.031713554987212275,0.9958546451375656,0.9977893150226093,0.9960838994867535,0.9999872281551886,0.0002788991528095441
3,Ennio_Doorbell,gafgyt.scan,3786,124,10,28110,0.9996443812233285,0.031713554987212275,0.9956081320393851,0.9976221741136387,0.9958164221042772,0.9999753431584768,0.000721469551392825
3,Ennio_Doorbell,gafgyt.tcp,3786,124,101449,87,0.0008568389536716042,0.031713554987212275,0.41232227488151657,0.0017101241314240224,0.03672970051021376,0.9396941016674418,0.06036044162180418
3,Ennio_Doorbell,gafgyt.udp,3786,124,103862,71,0.0006831324026055247,0.031713554987212275,0.3641025641025641,0.0013637062077443147,0.03576495460994223,0.9396833411491265,0.060357123636826535
4,Philips_B120N10_Baby_Monitor,mirai.scan,17004,520,6,103615,0.9999420966792446,0.02967359050445104,0.995006481970519,0.9974681838310325,0.9956580956704775,0.9999896985132956,5.7483958939694813e-05
4,Philips_B120N10_Baby_Monitor,mirai.ack,17004,520,0,91123,1.0,0.02967359050445104,0.9943258077540019,0.997154831861506,0.9952138577227166,0.9999969708914732,0.00012290966368233244
4,Philips_B120N10_Baby_Monitor,mirai.syn,17004,520,16,118112,0.9998645537044561,0.02967359050445104,0.9956166970126105,0.9977361040716338,0.9960487128829653,0.9999782718025021,0.00012478774489585275
4,Philips_B120N10_Baby_Monitor,mirai.udp,17004,520,14,217020,0.999935493977902,0.02967359050445104,0.9976096350096534,0.9987712104267628,0.9977233775867802,0.9999885554764737,6.0785309610932224e-05
4,Philips_B120N10_Baby_Monitor,mirai.udpplain,17004,520,0,80808,1.0,0.02967359050445104,0.9936061381074168,0.996792815907633,0.994711792702274,0.9999972120207227,0.00011893965899900618
4,Philips_B120N10_Baby_Monitor,gafgyt.combo,17004,520,17,58135,0.9997076626771221,0.02967359050445104,0.9911346006308073,0.9954026727850214,0.992903958983033,0.9999533950868206,0.00028883015424884824
4,Philips_B120N10_Baby_Monitor,gafgyt.junk,17004,520,18,28331,0.9993650569684998,0.02967359050445104,0.9819763613046342,0.9905944055944056,0.9882719682601966,0.9998993393308978,0.0006313267999318083
4,Philips_B120N10_Baby_Monitor,gafgyt.scan,17004,520,6,27853,0.9997846297426325,0.02967359050445104,0.9816727170197018,0.9906458955754731,0.988409756957451,0.9999659791846932,0.0002218143229316174
4,Philips_B120N10_Baby_Monitor,gafgyt.tcp,17004,520,92546,35,0.00037804733152590705,0.02967359050445104,0.06306306306306306,0.0007515890740422607,0.15475228191271967,0.8223277295928955,0.177757037662284
4,Philips_B120N10_Baby_Monitor,gafgyt.udp,17004,520,105764,18,0.00017016127507515458,0.02967359050445104,0.03345724907063197,0.00033860045146726867,0.13804681037419103,0.822294250261779,0.1777542893327136
5,Provision_PT_737E_Security_Camera,mirai.scan,6075,141,0,96781,1.0,0.022683397683397683,0.9985452219310373,0.9992720814855732,0.9986310280881967,0.9999994082355289,3.099781982000599e-05
5,Provision_PT_737E_Security_Camera,mirai.ack,6075,141,0,60554,1.0,0.022683397683397683,0.9976769091358432,0.9988371038111654,0.9978882731765764,0.9999982917275747,0.00017952269455060352
5,Provision_PT_737E_Security_Camera,mirai.syn,6075,141,0,65746,1.0,0.022683397683397683,0.9978599723769485,0.9989288400325147,0.9980406325560712,0.9999983165194737,0.00018690793604856818
5,Provision_PT_737E_Security_Camera,mirai.udp,6075,141,0,156248,1.0,0.022683397683397683,0.9990984020615261,0.9995489977193999,0.9991321154224936,0.9999997178857069,0.00012843819484544485
5,Provision_PT_737E_Security_Camera,mirai.udpplain,6075,141,0,56681,1.0,0.022683397683397683,0.9975185667523142,0.9987577420861122,0.9977582396616691,0.9999994976287737,0.00015100796557545733
5,Provision_PT_737E_Security_Camera,gafgyt.combo,6075,141,0,61380,1.0,0.022683397683397683,0.9977080996732823,0.998852735128274,0.9979140777560802,0.9999989070553587,0.0001456053875408714
5,Provision_PT_737E_Security_Camera,gafgyt.junk,6075,141,6,30892,0.9998058126739595,0.022683397683397683,0.9954564495859246,0.9976263906605739,0.9960392304790645,0.999990398932078,0.0005002291760334353
5,Provision_PT_737E_Security_Camera,gafgyt.scan,6075,141,0,29297,1.0,0.022683397683397683,0.9952102724369862,0.9975993870775517,0.9960296229549742,0.9999969249380452,0.00031447450551795706
5,Provision_PT_737E_Security_Camera,gafgyt.tcp,6075,141,10,104500,0.999904315376519,0.022683397683397683,0.9986525358129222,0.9992780335738294,0.9986362733233387,0.9903522715000086,0.009653544080871608
5,Provision_PT_737E_Security_Camera,gafgyt.udp,6075,141,25,103986,0.9997596408072223,0.022683397683397683,0.9986458843527616,0.9992024522192007,0.9984940168924129,0.990339633045693,0.009652667417230781
6,Provision_PT_838_Security_Camera,mirai.scan,9763,89,12,97084,0.9998764109747055,0.00903369874137231,0.999084107725397,0.9994801023323331,0.9990556158132924,0.9999987340446134,0.00011254562917184047
6,Provision_PT_838_Security_Camera,mirai.ack,9763,89,12,57985,0.9997930927461766,0.00903369874137231,0.9984674725350415,0.9991298429409586,0.9985114003154063,0.9999978998451703,0.0002049558599608639
6,Provision_PT_838_Security_Camera,mirai.syn,9763,89,5,61846,0.9999191605632892,0.00903369874137231,0.9985630096068459,0.9992406249495096,0.9986890367209182,0.9999990563809154,9.925477855104653e-05
6,Provision_PT_838_Security_Camera,mirai.udp,9763,89,4,158604,0.999974780591143,0.00903369874137231,0.9994391687093949,0.999706902909225,0.9994479401638371,0.9999997305782803,9.173265591728017e-05
6,Provision_PT_838_Security_Camera,mirai.udpplain,9763,89,1,53784,0.9999814074556103,0.00903369874137231,0.9983479665138381,0.99916401939475,0.99858572842843,0.9999993489212531,9.723247749881286e-05
6,Provision_PT_838_Security_Camera,gafgyt.combo,9763,89,2,57528,0.9999652355292891,0.00903369874137231,0.9984553170071333,0.999209705854256,0.998649490961978,0.9999985109006658,0.000197104527504194
6,Provision_PT_838_Security_Camera,gafgyt.junk,9763,89,2,29066,0.9999311958167056,0.00903369874137231,0.996947350368719,0.9984370437799496,0.9976618705035971,0.9999978629638563,0.0002898617161623792
6,Provision_PT_838_Security_Camera,gafgyt.scan,9763,89,10,28387,0.9996478501250132,0.00903369874137231,0.9968745610338531,0.9982592794471894,0.9974116970378311,0.9999952889409741,0.000482653001364234
6,Provision_PT_838_Security_Camera,gafgyt.tcp,9763,89,89304,83,0.0009285466566726705,0.00903369874137231,0.48255813953488375,0.0018535267253988988,0.09921502635052751,0.9898567477558533,0.010148556336806426
6,Provision_PT_838_Security_Camera,gafgyt.udp,9763,89,104606,52,0.0004968564276022856,0.00903369874137231,0.36879432624113473,0.0009923758814492504,0.08571303816260589,0.9898370212691374,0.010148780172779693
7,Samsung_SNH_1011_N_Webcam,gafgyt.combo,4454,761,0,58669,1.0,0.14592521572387343,0.9871950193504964,0.9935562536515974,0.988087784108697,0.9999715876810683,0.00021519071348274677
